SentenceID,CodeSwitchedSentence,IndicesOfCodeSwitchedWord,IndicesOfPunctuation,TranslatedSentence,AddedWordList
14,［ 其他 and 附加 条件 ］,[0_2],[0_5],［ 其他以及附加 条件 ］,
15,有 4/30 前往 jfk 的 吗 ？,[3],[6],有 4/30 前往肯尼迪机场 的 吗 ？,
16,同 求 4/30 jfk 的 ride,[3_5],,同 求 4/30肯尼迪机场的顺风车,
17,copper beach oak hill 二 楼 一 间 房间 出租 ， 房间 敞亮 ， 有 床 有 书桌 ， 独立 浴室 ， 家具 都 有 。,[0_1_2_3],[10_13_18_21_25],库帕海滩橡树山（小区名)二 楼 一 间 房间 出租 ， 房间 敞亮 ， 有 床 有 书桌 ， 独立 浴室 ， 家具 都 有 。,
18,路线 有 v ve 有 车子 的 朋友 可以 和 office 申请 车位 。,[2_3_10],[13],路线 有 v号公家路线 ve号公交路线 有 车子 的 朋友 可以 和物业办公室申请 车位 。,
19,坐标 ： 东方 超市 旁 ， giant 对面 的 college court 小区 。,[6_9_10],[1_5_12],坐标 ： 东方 超市 旁 ， 伟大超市对面 的大学场小区 。,
20,hello ， 各位 ！,[0_1],[1_3],大家好！各位,
21,去年 刚 建成 ， 在 downtown ， 有 免费 健身房 露天 游泳池 桌 游 室 等等 。,[5_6],[3_6_16],去年 刚 建成 ， 在 市中心 ， 有 免费 健身房 露天 游泳池 桌 游 室 等等 。,
22,本人 男 ， park 校区 。,[3],[2_5],本人男，在帕克校区,
23,你 需要 的 所有 超市 都 在 bus 线上 。,[7],[9],你 需要 的 所有 超市 都 在公交车线上 。,
24,fall semester 已 出租,[0_1],,秋季学期已 出租,
25,up up 持续 有效 ， 可 小刀,[0_1],[4],顶一下，持续 有效 ， 可 小刀,
26,mattress 很 新 ， 就 用 了 半 年 。,[0],[3_9],床垫很 新 ， 就 用 了 半 年 。,
27,小区 提供 visitor parking 。,[2_3_4],[4],小区提供访客停车位,
28,本人 住 在 heights ~,[3_4],[4],本人住在海慈小区~,
29,本人 安静 易 相处 ， 性格 nice 。,[6_7],[4_7],本人安静易相处，性格友善,
30,你 需要 的 所有 超市 都 在 bus 线上 。,[7],[9],你 需要 的 所有 超市 都 在公交车线上 。,
31,旁边 是 ymca 可以 健身 游泳 。,[2],[6],旁边 是 健身房 可以 健身 游泳 。,
32,本人 住 在 heights,[3],,本人住在海慈小区,
33,本人 住 在 heights ~,[3_4],[4],本人住在海慈小区~,
34,所以 请问 lease 是 八月 一日 开始 还是 六月 一日 ？,[2],[10],所以 请问 租房合同是 八月 一日 开始 还是 六月 一日 ？,
35,所以 请问 lease 是 八月 一日 开始 还是 六月 一日 ？,[2],[10],所以 请问 租房合同是 八月 一日 开始 还是 六月 一日 ？,
36,本人 女 phd 一 名 。,[2],[5],本人 女 博士生一 名 。,
37,坐标 ： 东方 超市 旁 ， giant 对面 的 college court 小区 。,[6_9_10],[1_5_12],坐标 ： 东方 超市 旁 ， 伟大超市对面 的大学场小区 。,
38,master 要 毕业 的 同学 看 过来 ~,[0],[7],研究生要毕业的同学看过来~,
42,与 cruise 人员 协商 后 ， 对方 表示 可以 在 六 个 月 内 转手 给 他人 。,[1],[5_17],与 巡查人员 协商 后 ， 对方 表示 可以 在 六 个 月 内 转手 给 他人 。,
43,而且 还 有 一些 签证 等 paperwork 需要 提前 处理 。,[6],[10],而且 还 有 一些 签证 等 文书材料 需要 提前 处理 。,
44,房型 ： 两 层 的 town house ， 四 卧室 ， 一 个 办公室 ， 两 个 全 浴室 ( 都 有 浴缸 ) ， 两 个 living room 。,[5_6_7_27_28_29],[1_7_10_14_19_23_24_29],房型 ： 两 层 的 独栋房子， 四 卧室 ， 一 个 办公室 ， 两 个 全 浴室 ( 都 有 浴缸 ) ， 两 个客厅。,
45,联系 方式 ： jeff ， em@0,[3_4_5],[2_4_5],联系 方式 ：杰夫 ， em@0,
46,能 不 能 续签 lease ?,[4_5],[5],能 不 能 续签 租房合同？,
47,原价 $700 / m ， 现 只 需 $500 / m 。,[3_4_10_11],[2_4_9_11],原价 $700 / 月 ， 现 只 需 $500 / 月。,
48,小区 免费 clubhouse 健身房 ， 环境 好 。,[2],[4_7],小区 免费 活动室 健身房 ， 环境 好 。,
49,爸 妈 两 人 ， 5/3 号 晚上 大概 10:30 的 飞机 到 newark 机场 。,[13],[4_15],爸 妈 两 人 ， 5/3 号 晚上 大概 10:30 的 飞机 到纽瓦克 机场 。,
50,去 专业 机构 quote 以后 重新 定价,[3],,去 专业 机构 报价以后 重新 定价,
51,小区 的 设施 还 包括 健身房 ， 游泳池 ， 还 有 一 个 reading room 。,[13_14_15],[6_8_15],小区 的 设施 还 包括 健身房 ， 游泳池 ， 还 有 一 个 读书室。,
53,爱 干净 ， 不 开 party ， 好 相处 。,[5_6],[2_6_9],爱 干净 ， 不 开 派对 ， 好 相处 。,
54,房东 的 rental,[2],,房东 的 租金,
55,而且 位于 downtown ， 周边 不 远 处 商店 林立 。,[2_3],[3_10],而且 位于市中心， 周边 不 远 处 商店 林立 。,
56,bryn 出租 ?,[0],[2],卜林恩小区出租?,
57,提前 renew 房租 比 现在 找 office 租 便宜 。,[1_6],[9],提前续租 房租 比 现在 找物业办公室租 便宜 。,
58,房间 全部 为 fully furnished 。,[3_4_5],[5],房间 全部 为全家具都有。,
59,距离 车站 2-3 分钟 走路 时间 ， w ， nv 和 we 经过 车站 。,[2_7_8_9_11],[6_8_14],距离 车站 2-3 分钟 走路 时间 ， w号公交线 ， nv号公交线 和 we线公交线 经过 车站 。,
60,房间 全部 为 fully furnished 。,[3_4_5],[5],房间 全部 为全家具都有。,
61,距离 车站 2-3 分钟 走路 时间 ， w ， nv 和 we 经过 车站 。,[2_7_8_9_11],[6_8_14],距离 车站 2-3 分钟 走路 时间 ， w号公交线 ， nv号公交线 和 we线公交线 经过 车站 。,
62,copper beech aaron dr 有 兴趣 吗 ?,[0_1_2_3],[7],库帕海滩小区西艾伦路有兴趣吗,
63,没有 基础 ， 希望 利用 summer 时间 能够 集中 学习 一下 。,[5],[2_11],没有 基础 ， 希望 利用 暑假时间 能够 集中 学习 一下 。,
64,随时 可以 签 lease ， 今年 七月 底 或者 8 .,[3_4],[4_10],随时 可以 签 租房合同， 今年 七月 底 或者 8.,[8]
65,我 希望 找 妹子 火速 去 office 商量 这 件 事 。,[6],[11],我 希望 找 妹子 火速 去 办公室 商量 这 件 事 。,
66,garden 一 室 一 厅 出租 。,[0],[6],花园小区一 室 一 厅 出租 。,
67,楼主 已 不再 往返 boston 。,[4_5],[5],楼主 已 不再 往返波士顿。,
68,电气 和 暖气 等 utility 的 费用 ， 均 摊 到 每人 大约 20-60 刀 / 月 。,[4_13],[7_15_17],电气 和 暖气 等 公共设施的 费用 ， 均 摊 到 每人 大约 20-60 刀 / 月 。,
69,会 优先 考虑 graduate student 和 女生 。,[3_4],[7],会 优先 考虑研究生 和 女生 。,
70,房型 是 两 人 间 ， 需要 和 一 位 男生 phd share bathroom 。,[11_12_13_14],[5_14],房型 是 两 人 间 ， 需要 和 一 位 男生博士生共同使用卫生间。,
71,二 层 corner unit ， 采光 好 。,[2_3_4],[4_7],二层街角房， 采光好,
72,房东 的 rental,[2],,房东的租金,
73,而且 位于 downtown ， 周边 不 远 处 商店 林立 。,[2_3],[3_10],而且 位于市中心， 周边 不 远 处 商店 林立 。,
74,leasing office 有 健身房 和 游泳池 。,[0_1],[6],租房办公室 有 健身房 和 游泳池 。,
75,本人 在 penn state 做 博 后 。,[2_3],[7],本人 在宾州州立大学 做 博 后 。,
76,本人 第二 年 的 phd ， 有 一 只 超级 可爱 的 小 母 猫 ， 我 自己 话 不 多 ， 但是 遇到 投缘 的 人 或者 事情 ， 话 可以 很多 。,[4_5],[5_15_21_29_33],本人 第二 年 的博士 ， 有 一 只 超级 可爱 的 小 母 猫 ， 我 自己 话 不 多 ， 但是 遇到 投缘 的 人 或者 事情 ， 话 可以 很多 。,
77,希望 可以 在 giant food store 附近 ， 因为 认识 的 师兄 都 在 那 附近 住 。,[3_4_5],[7_17],希望 可以 在 伟大食物商店那附近 ， 因为 认识 的 师兄 都 在 那 附近 住 。,
78,二 层 corner unit ， 采光 好 。,[2_3_4],[4_7],二层街角房， 采光好,
79,有 free parking 。,[1_2_3],[3],有免费停车位。,
80,而且 位于 downtown ， 周边 不 远 处 商店 林立 。,[2_3],[3_10],而且 位于市中心， 周边 不 远 处 商店 林立 。,
81,两 个 独立 浴室 ， 厅 非常 大 ， lion's gate apartment,[10_11],[4_8],两 个 独立 浴室 ， 厅 非常 大 ， 莱恩盖特公寓,
82,房间 很 大 ， 自 带 walk-in closet 和 卫生间 。,[6_7],[3_10],房间 很 大 ， 自 带 可走入的衣橱和 卫生间 。,
83,别的 没有 任何 catch 啦 。,[3],[5],别的 没有 任何窗钩。,
84,甩 干 机 洗衣机 in unit 。,[4_5_6],[6],甩 干 机 洗衣机 是单独的。,
85,我 今年 在 美国 读 高 四 ， 申请 了 uw madison and penn state .,[10_11_12_13_14_15],[7_15],我 今年 在 美国 读 高 四 ， 申请 了 华盛顿麦迪逊大学和宾州州立大学,
86,同 summer 新生 。,[1],[3],同暑期学生,
87,： ） 感觉 fitness 最 容易 。,[0_1_3],[0_1_6],： ） 感觉健身最 容易 。,
88,请 联系 sunflower em@1,[2_3],[3],请 联系向日葵 em@1,
89,我 自己 有 tv mount （ 电视 挂 墙 上 的 架子 ） 。,[3_4_5],[5_12_13],我已有电视挂墙上的架子,
90,出 greyhound bus 票 ， 3 .,[1_2],[4_6],出 灰狗巴士票 ，,[3]
91,tel ： pn-1 ( 请 注明 是 租房 ) email : em@2,[0_1_2_3_9_10_11],[1_2_3_8_10_11],电话 ： pn-1 ( 请 注明 是 租房 )邮箱 : em@2,
92,本人 有 车 ， 去 学校 、 购物 、 玩耍 可 提供 ride 。,[12_13],[3_6_8_13],本人 有 车 ， 去 学校 、 购物 、 玩耍 可 提供 顺风车 。,
93,可以 提前 来看 房间 ， 如 需要 ， 可 ride 你 过来 。,[9],[4_7_12],可以 提前 来看 房间 ， 如 需要 ， 可 让你搭车 过来 。,
94,1，3，4，5，6，10，15，20，21，36，83，84，95 gone 了,[0_1],,1，3，4，5，6，10，15，20，21，36，83，84，95 没了,
95,discover 信用卡 discover 可 作为 入门 信用卡 ， 要求 门槛 低 ， 适合 学生 等 没有 信用 记录 的 群体 。,[0_2],[7_11_20],探索（名字） 信用卡 探索 可 作为 入门 信用卡 ， 要求 门槛 低 ， 适合 学生 等 没有 信用 记录 的 群体 。,
96,还有 其他 几 张 信用卡 后面 再加 ， 各 个 信用卡 都 有 不同 的 福利 ， 比如 租车 保险 ， purchase cash back 等等 ， 感兴趣 的 请 自行 google 。,[21_22_23_30_31],[7_16_20_25_31],还有 其他 几 张 信用卡 后面 再加 ， 各 个 信用卡 都 有 不同 的 福利 ， 比如 租车 保险 ， 购买现金 等等 ， 感兴趣 的 请 自行 谷歌。,
97,discover 信用卡 discover 可 作为 入门 信用卡 ， 要求 门槛 低 ， 适合 学生 等 没有 信用 记录 的 群体 。,[0_2],[7_11_20],探索（名字） 信用卡 探索 可 作为 入门 信用卡 ， 要求 门槛 低 ， 适合 学生 等 没有 信用 记录 的 群体 。,
98,还有 其他 几 张 信用卡 后面 再加 ， 各 个 信用卡 都 有 不同 的 福利 ， 比如 租车 保险 ， purchase cash back 等等 ， 感兴趣 的 请 自行 google 。,[21_22_23_30_31],[7_16_20_25_31],还有 其他 几 张 信用卡 后面 再加 ， 各 个 信用卡 都 有 不同 的 福利 ， 比如 租车 保险 ， 购买现金 等等 ， 感兴趣 的 请 自行 谷歌。,
99,best 评为 a 级 。,[0_2],[4],最好的评为第一级,
100,将 这个 电子 保单 和 email 里 的 保险 确认 信 visa letter 发给 学校 ， 证明 你 已经 购买 符合 学校 标准 的 保险 。,[5_11_12],[15_25],将 这个 电子 保单 和邮件里 的 保险 确认 信 确认信 发给 学校 ， 证明 你 已经 购买 符合 学校 标准 的 保险 。,
101,优点 ： state college 性价比 最高 的 一 室 一 厅 。,[2_3],[1_11],优点 ：斯泰特克里奇 性价比 最高 的 一 室 一 厅 。,
102,汽车 现在 是 学期 中 可以 坐 n v w ne nv vn ， 不 是 学期 中 坐 n v w a 。,[7_8_9_10_11_12_13_19_20_21_22_23],[13_23],汽车 现在 是 学期 中 可以 坐 n v w ne nv vn公交路线 ， 不 是 学期 中 坐 n v w a 号公交路线。,
103,公寓 在 二 楼 ， college court 比较 靠 里 的 building ， 很 安静 。,[5_6_11_12],[4_12_15],公寓 在 二 楼 ，大学场 比较 靠 里 的 楼 ， 很 安静 。,
104,联系 方式 贺 女士 tel : pn-2 ( messages only ) ;,[4_5_6_7_8_9_10_11],[5_6_7_10_11],联系 方式 贺 女士 电话号码: pn-2 (仅限短信） ;,
105,vv 有 clubhouse ， 可以 健身 ， 夏季 可以 游泳 。,[0_2_3],[3_6_10],巴埃罗村庄小区 有 活动室， 可以 健身 ， 夏季 可以 游泳 。,
106,本人 有 车 ， 去 学校 、 购物 、 玩耍 可 提供 ride 。,[12_13],[3_6_8_13],本人 有 车 ， 去 学校 、 购物 、 玩耍 可 提供 顺风车 。,
107,家 附近 有 公交 v ， ve 和 vn 。,[4_5_6_8_9],[5_9],家 附近 有 公交 v ， ve 和 vn号公交,
108,家 附近 有 公交 v ， ve 和 vn 。,[4_5_6_8_9],[5_9],家 附近 有 公交 v ， ve 和 vn号公交,
109,newark 也 接,[0],,纽瓦克也接,
110,提供 费城 单程 或 往返 ride .,[5_6],[6],提供 费城 单程 或 往返搭车,
111,get your own room and share a bathroom 可以 签 半 年 或者 一 年 lease 。,[0_1_2_3_4_5_6_7_15_16],[16],有一个自己的房间然后和别人共用洗手间可以 签 半 年 或者 一 年 租房合同。,
112,可以 给 1-2 个 人 提供 ride 。,[2_6_7],[7],可以 给 1-2 个 人 提供 搭车,
113,费用 依 目的地 而 定 ， 但 希望 离 charlottesville 越 近 越 好 。,[9],[5_14],费用 依 目的地 而 定 ， 但 希望 离夏洛茨维尔 越 近 越 好 。,
114,欢迎 男生 （ master or phd ） 咨询,[3_4_5_6],[2_6],欢迎 男生 （硕士或博士生） 咨询,
115,至少 需要 两 间 卧室 （ 一 男 一 女 都 是 phd ） ， 或者 整 套 房子 。,[12_13_14],[5_13_14_19],至少 需要 两 间 卧室 （ 一 男 一 女 都 是博士生 ） ， 或者 整 套 房子 。,
116,位于 bolton ave 。,[1_2_3],[3],位于博尔顿大道,
117,房间 有 书桌 ， 衣柜 ， queen size 床 。,[6_7],[3_5_9],房间 有 书桌 ， 衣柜 ，一米八宽的床 。,
118,现在 已经 有 两 个 phd ， 一 男 一 女 ( 不 是 couple ) 。,[5_6_14_15_16],[6_11_15_16],现在 已经 有 两 个博士生 ， 一 男 一 女 ( 不 是 情侣) 。,
119,【 提供 ride 】 3-7 本 周三 下午 费城 ！,[0_2_3_4],[0_3_9],【 提供 搭车 】 3-7 本 周三 下午 费城 ！,
120,转 lease 的 $300 我 出 ！,[1],[6],转租房合同 的 $300 我 出 ！,
121,park crest 属于 村里 性价比 很 高 的 小区 ， 很 难 申请 到 ， 当时 花 了 不少 时间 和 精力 申请 。,[0_1],[9_14_23],帕克克莱斯特 属于 村里 性价比 很 高 的 小区 ， 很 难 申请 到 ， 当时 花 了 不少 时间 和 精力 申请 。,
122,park crest 属于 村里 性价比 很 高 的 小区 ， 很 难 申请 到 ， 当时 花 了 不少 时间 和 精力 申请 。,[0_1],[9_14_23],帕克克莱斯特 属于 村里 性价比 很 高 的 小区 ， 很 难 申请 到 ， 当时 花 了 不少 时间 和 精力 申请 。,
123,jfk 不 去 了 ， 离 自己 的 目的地 太 远 。,[0],[4_11],肯尼迪机场不 去 了 ， 离 自己 的 目的地 太 远 。,
124,在 state college 买 菜 上学 等 代步 ， 性价比 高 。,[1_2],[8_11],在 斯泰特克里奇买 菜 上学 等 代步 ， 性价比 高 。,
125,无 事故 记录 （ clean title ， 可 提 供 vin 报告 ） ！,[4_5_6_10],[3_6_12_13],无 事故 记录 （ 无拖车记录， 可 提 供车辆识别码 报告 ） ！,
126,hello ， 房东 微 信 一直 加 不 上 ， 有 什么 别的 联系 方式 吗 ？,[0_1],[1_9_16],你好 ， 房东 微 信 一直 加 不 上 ， 有 什么 别的 联系 方式 吗 ？,
127,直接 与 office 签约 。,[2],[4],直接 与 物业办公室 签约 。,
128,tel ： pn-1 ( 请 注明 是 租房 ) email : em@2,[0_1_2_3_9_10_11],[1_2_3_8_10_11],电话号码 ： pn-1 ( 请 注明 是 租房 ) 邮箱: em@2,
129,小区 楼 间距 大 ， 采光 好 ， 有 很多 parking space ， 并且 没有 party ， 邻居 都 很 安静 。,[10_11_12_15_16],[4_7_12_16_21],小区 楼 间距 大 ， 采光 好 ， 有 很多 停车位 ， 并且 没有派对 ， 邻居 都 很 安静 。,
130,价格 便宜 ， 暂定 $400 全 包 （ 可 协商 ） ， 不 需要 支付 任何 额外 费用 ， 包括 所有 utilities ， 定价 透明 清楚 。,[21_22],[2_7_10_11_18_22_26],价格 便宜 ， 暂定 $400 全 包 （ 可 协商 ） ， 不 需要 支付 任何 额外 费用 ， 包括 所有 水电费， 定价 透明 清楚 。,
131,tel ： pn-1 ( 请 注明 是 租房 ) email : em@2,[0_1_2_3_9_10_11],[1_2_3_8_10_11],电话号码 ： pn-1 ( 请 注明 是 租房 ) 邮箱: em@2,
132,请 短信 联系 814-777 - one five five zero,[3_4_5_6_7_8],[4],请 短信 联系 814-777 - 1550,
133,大家 都 知道 park crest 是 村里 高 性价比 小区 之一 。,[3_4],[11],大家 都 知到帕克克莱斯特是 村里 高 性价比 小区 之一 。,
134,走路 即 可 到 giant ， 东方 超市 购物 。,[4_5],[5_9],走路 即 可 到 伟大超市， 东方 超市 购物 。,
135,坐标 ： college court ， 东方 超市 旁边 ， giant 超市 对面 。,[2_3_4_9],[1_4_8_12],坐标 ： 大学场小区 ， 东方 超市 旁边 ， 伟大超市 对面 。,
136,好 房 短 租 park forest apartment 两 室 一 厅 ， 入住 时间 可 商议 。,[4_5_6],[11_16],好 房 短 租 帕克克莱斯特小区两 室 一 厅 ， 入住 时间 可 商议 。,
137,小区 的 设施 还 包括 健身房 ， 游泳池 ， 还 有 一 个 reading room 。,[13_14_15],[6_8_15],小区 的 设施 还 包括 健身房 ， 游泳池 ， 还 有 一 个 读书室,
138,最好 可以 签 lease 。,[3_4],[4],最好 可以 签 租房合同,
139,cherry red 是 不 是 比较 吵 ?,[0_1],[7],车厘红是不是比较吵,
140,cherry red 是 不 是 比较 吵 ?,[0_1],[7],车厘红是不是比较吵,
141,cherry red 是 不 是 比较 吵 ?,[0_1],[7],车厘红是不是比较吵,
142,park crest 属于 村里 性价比 很 高 的 小区 ， 当时 申请 也 花 了 不少 时间 功夫 。,[0_1],[9_18],帕克克莱斯特 属于 村里 性价比 很 高 的 小区 ， 当时 申请 也 花 了 不少 时间 功夫 。,
143,车 在 state college pa 。,[2_3_4_5],[5],车 在宾夕法尼亚斯泰特克里奇,
145,park crest 优先 ！,[0_1],[3],帕克克莱斯特优先！,
146,小区 楼 间距 大 ， 采光 好 ， 有 很多 parking space ， 并且 没有 party ， 邻居 都 很 安静 。,[10_11_12_15_16],[4_7_12_16_21],小区 楼 间距 大 ， 采光 好 ， 有 很多停车位， 并且 没有 派对 ， 邻居 都 很 安静 。,
147,小区 楼 间距 大 ， 采光 好 ， 有 很多 parking space ， 并且 没有 party ， 邻居 都 很 安静 。,[10_11_12_15_16],[4_7_12_16_21],小区 楼 间距 大 ， 采光 好 ， 有 很多停车位， 并且 没有 派对 ， 邻居 都 很 安静 。,
148,html 一 年 前 收到 的 吧 。,[0],[7],超文本标记语言 一 年 前 收到 的 吧 。,
149,tel ： 814-8269093 ( 请 注明 是 租房 ) email : em@3,[0_1_2_3_9_10_11],[1_3_8_10_11],电话号码： 814-8269093 ( 请 注明 是 租房 )邮箱: em@3,
150,地下室 改造 成 了 独立 的 studio ， 有 独立 的 出口 ， 厨房 和 卫浴 。,[6_7],[7_12_16],地下室 改造 成 了 独立 的单人间 ， 有 独立 的 出口 ， 厨房 和 卫浴 。,
151,hi 各位 ， 组团 去 boston ， 租车 或 开 我 的 车 。,[0_5_6],[2_6_13],嗨 各位 ， 组团 去波士顿 ， 租车 或 开 我 的 车 。,
152,4-17 ， labor day 假期 。,[0_1_2_3],[1_5],4-17 ， 劳动节 假期 。,
153,本人 有 车 ， 去 学校 、 购物 、 玩耍 可 提供 ride 。,[12_13],[3_6_8_13],本人 有 车 ， 去 学校 、 购物 、 玩耍 可 提供 搭车。,
154,超 好 的 house,[3],,超 好 的房子,
155,【 update 】 房间 还在,[0_1_2],[0_2],【 更新】 房间 还在,
156,phd 最后 半 年 ， 女生 。,[0],[4_6],博士生最后 半 年 ， 女生 。,
157,现 住 在 park crest terrace 。,[3_4_5_6],[6],现住在帕克克莱斯特小区叠层房,
158,我 有 个 apartment 在 downtown ， 感兴趣 联系 我 哦 pn-3,[3_5_6],[6_11],我 有 个 住房 在 市中心， 感兴趣 联系 我 哦 pn-3,
159,mid march 起 ， 一 年 。,[0_1],[3_6],三月中旬 起 ， 一 年 。,
160,申请 费$35/人 ， 需要 和 office 签约 。,[5],[2_7],申请 费$35/人 ， 需要 和 物业办公室签约 。,
161,药房 ： rite aid,[2_3],[1],药房：里特艾德,
162,健身 ： ymca （ 可以 游泳 、 攀岩 、 健身 、 打球 ） 。,[2_3],[1_3_6_8_10_12_13],健身 ： 健身房（ 可以 游泳 、 攀岩 、 健身 、 打球 ） 。,
163,也 可以 直接 咨询 park forest apartment office 。,[4_5_6_7_8],[8],也 可以 直接 咨询 帕克森林小区的办公室,
164,房间 还 available 吗 想 租 谢谢,[2],,房间 还可住吗 想 租 谢谢,
165,这里 有 一 份 有偿 的 推荐 任务 ~ 国内 的 英语 培训 机构 要 招 english speaker （ 母语 ） 的 外教 ， 工作 地点 西安 ， 提供 工作 签证 。,[16_17_18],[8_18_20_23_27_31],这里 有 一 份 有偿 的 推荐 任务 ~ 国内 的 英语 培训 机构 要 招说英语的人（ 母语 ） 的 外教 ， 工作 地点 西安 ， 提供 工作 签证 。,
166,交通 便利 ， 出门 就 是 r ， rp ， rc 等 公交 路线 ， 平均 大概 十 分钟 一 趟 。,[6_7_8_9_10],[2_7_9_14_21],交通 便利 ， 出门 就 是 r ， rp ， rc 等 公交 路线 ， 平均 大概 十 分钟 一 趟 。,
167,已 email 联系 ， 盼 回复,[1],[3],已邮件 联系 ， 盼 回复,
168,如有 意向 请 直接 联系 email ： em@4,[5_6_7],[6_7],如有 意向 请 直接 联系邮箱 ： em@4,
169,sorry 桌子 先 不 出 了,[0],,抱歉 桌子 先 不 出 了,
170,sorry 桌子 先 不 出 了,[0],,抱歉 桌子 先 不 出 了,
171,之前 无法 登陆 bbs 自行车 已 出,[3],,之前 无法 登陆美国二手网站 自行车 已 出,
172,房型 （ 具体 可以 参见 the pointe 官方 网站 ） ：,[5_6],[1_9_10],房型 （ 具体 可以 参见 破音特小区官方 网站 ） ：,
173,请 问 studio 只是 一 间 房 还 是 单独 一 套 的 那 种 ？,[2],[15],请 问 单人间只是 一 间 房 还 是 单独 一 套 的 那 种 ？,
174,若 直接 步行 去 学校 ， 也 只 需 二十 分钟 ， 比 parkway plaza 小区 离 学校 还 要 近 。,[13_14],[5_11_21],若 直接 步行 去 学校 ， 也 只 需 二十 分钟 ， 比 花园路广场小区 离 学校 还 要 近。,
175,field ， 闲暇 时 可以 在 草坪 上 玩耍 。,[0_1],[1_9],牧场 ， 闲暇 时 可以 在 草坪 上 玩耍 。,
176,fully furnished 拎包 入住,[0_1],,全家具的房子 拎包 入住,
177,直接 和 office 签 lease,[2_4],,直接 和 官方办公室签租房合同,
178,你 好 ， 想 问 一下 是 需要 share 卫生间 的 吗 ？,[8],[2_12],你 好 ， 想 问 一下 是 需要共用卫生间 的 吗 ？,
181,html 小区 离 东方 超市 和 giant 非常 近 ， 可以 步行 买 菜 ， 购物 。,[0_6],[9_14_16],html 小区 离 东方 超市 和 伟大超市 非常 近 ， 可以 步行 买 菜 ， 购物 。,
182,deposit 是 一 个 月 房租 。,[0],[6],押金是一个月房租。,
183,dr 上 ， 有 rc ， rp,[0_4_5_6],[2_5],街道上 ， 有 rc ， rp,
184,房间 内 家具 齐全 ， 有 床 和 mattress 和 书桌 ， dishwasher,[8_12],[4_11],房间 内 家具 齐全 ， 有 床 和 床垫 和 书桌 ， 洗碗机,
185,和 microwave ， 拎包 入住 。,[1_2],[2_5],和微波炉 ， 拎包 入住 。,
186,打算 近期 去 lancaster 一 趟 ， 当天 往返 ， 提供 ride 。,[3_11_12],[6_9_12],打算 近期 去 兰卡斯特 一 趟 ， 当天 往返 ， 提供 搭车 。,
187,低价 出手 几 台 dell 和 acer 的 显示器 ， 20-50 $ .,[4_6_10_11_12],[9_11_12],低价 出手 几 台 戴尔 和宏碁 的 显示器 ， 20-50 $ .,
189,有意 向 者 ， 请 发 英文 简历 （ resume ） 及 职位 申请书 （ cover letter ） 到,[9_10_15_16_17],[3_8_10_14_17],有意 向 者 ， 请 发 英文 简历及 职位 申请书到,
