sentence ID,original,translated,untranslated word,cs indices in original,cs indices in translated,punct indices in original,punct indices in translated
11,坐标 ： 东方 超市 旁 ， giant 对面 的 college court 小区 。,坐标 ： 东方 超市 旁 ， 伟大 超市 对面 的 大学 场 小区 。,[],[6_9_10],[6_10_11],[1_5_12],[1_5_13]
12,小区 环境 优美 ， clubhouse 有 健身房 、 泳池 、 并且 提供 免费 的 咖啡 等 饮品 。,小区 环境 优美 ， 活动室 有 健身房 、 泳池 、 并且 提供 免费 的 咖啡 等 饮品 。,[],[4],[4],[3_7_9_17],[3_7_9_17]
13,有 人 5/8 去 jfk 吗 ？,有 人 5/8 去 肯尼迪 机场 吗 ？,[],[4],[4_5],[6],[2_7]
14,［ 其他 and 附加 条件 ］,［ 其他 以及 附加 条件 ］,[],[0_2],[0_2],[0_5],[0_5]
15,有 4/30 前往 jfk 的 吗 ？,有 4/30 前往 肯尼迪 机场 的 吗 ？,[],[3],[3_4],[6],[1_7]
16,同 求 4/30 jfk 的 ride,同 求 4/30 肯尼迪 机场 的 顺风车,[],[3_5],[3_4_6],,[2]
17,copper beach oak hill 二 楼 一 间 房间 出租 ， 房间 敞亮 ， 有 床 有 书桌 ， 独立 浴室 ， 家具 都 有 。,库帕 海滩 橡树 山 （ 小 区名 ) 二 楼 一 间 房间 出租 ， 房间 敞亮 ， 有 床 有 书桌 ， 独立 浴室 ， 家具 都 有 。,[],[0_1_2_3],[0_1_2_3_4_5_6_7],[10_13_18_21_25],[4_7_14_17_22_25_29]
18,路线 有 v ve 有 车子 的 朋友 可以 和 office 申请 车位 。,路线 有 v号 公家 路线 ve 号 公交 路线 有 车子 的 朋友 可以 和 物业 办公室 申请 车位 。,[ve],[2_3_10],[2_3_5_6_7_15_16],[13],[19]
20,hello ， 各位 ！,大家 好 ！ 各位,[],[0_1],[0_1_2],[1_3],[2]
21,去年 刚 建成 ， 在 downtown ， 有 免费 健身房 露天 游泳池 桌 游 室 等等 。,去年 刚 建成 ， 在 市中心 ， 有 免费 健身房 露天 游泳池 桌 游 室 等等 。,[],[5_6],[5_6],[3_6_16],[3_6_16]
22,本人 男 ， park 校区 。,本人 男 ， 在 帕克 校区,[],[3],[3_4],[2_5],[2]
23,你 需要 的 所有 超市 都 在 bus 线上 。,你 需要 的 所有 超市 都 在 公交车 线上 。,[],[7],[7],[9],[9]
24,fall semester 已 出租,秋季 学期 已 出租,[],[0_1],[0_1],,
25,up up 持续 有效 ， 可 小刀,顶 一下 ， 持续 有效 ， 可 小刀,[],[0_1],[0_1_2],[4],[2_5]
26,mattress 很 新 ， 就 用 了 半 年 。,床垫 很 新 ， 就 用 了 半 年 。,[],[0],[0],[3_9],[3_9]
27,小区 提供 visitor parking 。,小区 提供 访客 停车位,[],[2_3_4],[2_3],[4],
28,本人 住 在 heights ~,本人 住 在 海慈 小区 ~,[],[3_4],[3_4_5],[4],[5]
29,本人 安静 易 相处 ， 性格 nice 。,本人 安静 易 相处 ， 性格 友善,[],[6_7],[6],[4_7],[4]
32,本人 住 在 heights,本人 住 在 海慈 小区,[],[3],[3_4],,
34,所以 请问 lease 是 八月 一日 开始 还是 六月 一日 ？,所以 请问 租房 合同 是 八月 一日 开始 还是 六月 一日 ？,[],[2],[2_3],[10],[11]
36,本人 女 phd 一 名 。,本人 女 博士生 一 名 。,[],[2],[2],[5],[5]
38,master 要 毕业 的 同学 看 过来 ~,研究生 要 毕业 的 同学 看 过来 ~,[],[0],[0],[7],[7]
39,与 cruise 人员 协商 后 ， 对方 表示 可以 在 六 个 月 内 转手 给 他人 。,与 巡查 人员 协商 后 ， 对方 表示 可以 在 六 个 月 内 转手 给 他人 。,[],[1],[1],[5_17],[5_17]
40,而且 还 有 一些 签证 等 paperwork 需要 提前 处理 。,而且 还 有 一些 签证 等 文书 材料 需要 提前 处理 。,[],[6],[6_7],[10],[11]
41,房型 ： 两 层 的 town house ， 四 卧室 ， 一 个 办公室 ， 两 个 全 浴室 ( 都 有 浴缸 ) ， 两 个 living room 。,房型 ： 两 层 的 独栋 房子 ， 四 卧室 ， 一 个 办公室 ， 两 个 全 浴室 ( 都 有 浴缸 ) ， 两 个 客厅 。,[],[5_6_7_27_28_29],[5_6_7_27_28],[1_7_10_14_19_23_24_29],[1_7_10_14_19_23_24_28]
42,联系 方式 ： jeff ， em@0,联系 方式 ： 杰夫 ， em@0,[],[3_4_5],[3_4_5],[2_4_5],[2_4_5]
43,能 不 能 续签 lease ?,能 不 能 续签 租房 合同 ？,[],[4_5],[4_5_6],[5],[6]
44,原价 $700 / m ， 现 只 需 $500 / m 。,原价 $700 / 月 ， 现 只 需 $500 / 月 。,[],[3_4_10_11],[3_4_10_11],[2_4_9_11],[1_2_4_8_9_11]
45,小区 免费 clubhouse 健身房 ， 环境 好 。,小区 免费 活动室 健身房 ， 环境 好 。,[],[2],[2],[4_7],[4_7]
46,爸 妈 两 人 ， 5/3 号 晚上 大概 10:30 的 飞机 到 newark 机场 。,爸 妈 两 人 ， 5/3 号 晚上 大概 10:30 的 飞机 到 纽瓦克 机场 。,[],[13],[13],[4_15],[4_5_9_15]
47,去 专业 机构 quote 以后 重新 定价,去 专业 机构 报价 以后 重新 定价,[],[3],[3],,
48,小区 的 设施 还 包括 健身房 ， 游泳池 ， 还 有 一 个 reading room 。,小区 的 设施 还 包括 健身房 ， 游泳池 ， 还 有 一 个 读书 室 。,[],[13_14_15],[13_14_15],[6_8_15],[6_8_15]
49,爱 干净 ， 不 开 party ， 好 相处 。,爱 干净 ， 不 开 派对 ， 好 相处 。,[],[5_6],[5_6],[2_6_9],[2_6_9]
50,房东 的 rental,房东 的 租金,[],[2],[2],,
51,而且 位于 downtown ， 周边 不 远 处 商店 林立 。,而且 位于 市中心 ， 周边 不 远 处 商店 林立 。,[],[2_3],[2_3],[3_10],[3_10]
52,bryn 出租 ?,卜林恩 小区 出租 ?,[],[0],[0_1],[2],[3]
53,提前 renew 房租 比 现在 找 office 租 便宜 。,提前 续租 房租 比 现在 找 物业 办公室 租 便宜 。,[],[1_6],[1_6_7],[9],[10]
54,房间 全部 为 fully furnished 。,房间 全部 为 全家 具 都 有 。,[],[3_4_5],[3_4_5_6_7],[5],[7]
55,距离 车站 2-3 分钟 走路 时间 ， w ， nv 和 we 经过 车站 。,距离 车站 2-3 分钟 走路 时间 ， w号 公交线 ， nv号 公交线 和 we 线 公交线 经过 车站 。,[we],[7_8_9_11],[7_8_9_10_11_13_14_15],[6_8_14],[2_6_9_18]
58,copper beech aaron dr 有 兴趣 吗 ?,库帕 海滩 小区 西 艾伦 路 有 兴趣 吗,[],[0_1_2_3],[0_1_2_3_4_5],[7],
59,没有 基础 ， 希望 利用 summer 时间 能够 集中 学习 一下 。,没有 基础 ， 希望 利用 暑假 时间 能够 集中 学习 一下 。,[],[5],[5],[2_11],[2_11]
60,随时 可以 签 lease ， 今年 七月 底 或者 8 .,随时 可以 签 租房 合同 ， 今年 七月 底 或者 8 .,[],[3_4],[3_4_5_10_11],[4_10],[5_11]
61,我 希望 找 妹子 火速 去 office 商量 这 件 事 。,我 希望 找 妹子 火速 去 办公室 商量 这 件 事 。,[],[6],[6],[11],[11]
62,garden 一 室 一 厅 出租 。,花园 小区 一 室 一 厅 出租 。,[],[0],[0_1],[6],[7]
63,楼主 已 不再 往返 boston 。,楼主 已 不再 往返 波士顿 。,[],[4_5],[4_5],[5],[5]
64,电气 和 暖气 等 utility 的 费用 ， 均 摊 到 每人 大约 20-60 刀 / 月 。,电气 和 暖气 等 公共 设施 的 费用 ， 均 摊 到 每人 大约 20-60 刀 / 月 。,[],[4],[4_5],[7_15_17],[8_14_16_18]
65,会 优先 考虑 graduate student 和 女生 。,会 优先 考虑 研究生 和 女生 。,[],[3_4],[3],[7],[6]
66,房型 是 两 人 间 ， 需要 和 一 位 男生 phd share bathroom 。,房型 是 两 人 间 ， 需要 和 一 位 男生 博士生 共同 使用 卫生间 。,[],[11_12_13_14],[11_12_13_14_15],[5_14],[5_15]
67,二 层 corner unit ， 采光 好 。,二 层 街角 房 ， 采光 好,[],[2_3_4],[2_3_4],[4_7],[4]
70,leasing office 有 健身房 和 游泳池 。,租房 办公室 有 健身房 和 游泳池 。,[],[0_1],[0_1],[6],[6]
71,本人 在 penn state 做 博 后 。,本人 在 宾州 州立 大学 做 博 后 。,[],[2_3],[2_3_4],[7],[8]
72,本人 第二 年 的 phd ， 有 一 只 超级 可爱 的 小 母 猫 ， 我 自己 话 不 多 ， 但是 遇到 投缘 的 人 或者 事情 ， 话 可以 很多 。,本人 第二 年 的 博士 ， 有 一 只 超级 可爱 的 小 母 猫 ， 我 自己 话 不 多 ， 但是 遇到 投缘 的 人 或者 事情 ， 话 可以 很多 。,[],[4_5],[4_5],[5_15_21_29_33],[5_15_21_29_33]
73,希望 可以 在 giant food store 附近 ， 因为 认识 的 师兄 都 在 那 附近 住 。,希望 可以 在 伟大 食物 商店 那 附近 ， 因为 认识 的 师兄 都 在 那 附近 住 。,[],[3_4_5],[3_4_5],[7_17],[8_18]
75,有 free parking 。,有 免费 停车位 。,[],[1_2_3],[1_2_3],[3],[3]
77,两 个 独立 浴室 ， 厅 非常 大 ， lion's gate apartment,两 个 独立 浴室 ， 厅 非常 大 ， 莱恩 盖特 公寓,[],[10_11],[9_10_11],[4_8],[4_8]
78,房间 很 大 ， 自 带 walk-in closet 和 卫生间 。,房间 很 大 ， 自 带 可 走入 的 衣橱 和 卫生间 。,[],[7],[6_7_8_9],[3_10],[3_12]
79,别的 没有 任何 catch 啦 。,别的 没有 任何 窗钩 。,[],[3],[3_4],[5],[4]
80,甩 干 机 洗衣机 in unit 。,甩 干 机 洗衣机 是 单独 的 。,[],[4_5_6],[4_5_6_7],[6],[7]
81,我 今年 在 美国 读 高 四 ， 申请 了 uw madison and penn state .,我 今年 在 美国 读 高 四 ， 申请 了 华盛顿 麦迪逊 大学 和 宾州 州立 大学,[],[10_11_12_13_14_15],[10_11_12_13_14_15_16],[7_15],[7]
82,同 summer 新生 。,同 暑期 学生,[],[1],[1_2],[3],
83,： ） 感觉 fitness 最 容易 。,： ） 感觉 健身 最 容易 。,[],[0_1_3],[0_1_3],[0_1_6],[0_1_6]
84,请 联系 sunflower em@1,请 联系 向日葵 em@1,[],[2_3],[2_3],[3],[3]
85,我 自己 有 tv mount （ 电视 挂 墙 上 的 架子 ） 。,我 已 有 电视 挂 墙 上 的 架子,[],[3_4_5],[1],[5_12_13],
86,出 greyhound bus 票 ， 3 .,出 灰狗 巴士票 ，,[],[1_2],[1_2_3],[4_6],[3]
87,tel ： pn-1 ( 请 注明 是 租房 ) email : em@2,电话 ： pn-1 ( 请 注明 是 租房 ) 邮箱 : em@2,[],[0_1_2_3_9_10_11],[0_1_2_3_9_10_11],[1_2_3_8_10_11],[1_2_3_8_10_11]
88,本人 有 车 ， 去 学校 、 购物 、 玩耍 可 提供 ride 。,本人 有 车 ， 去 学校 、 购物 、 玩耍 可 提供 顺风车 。,[],[12_13],[12_13],[3_6_8_13],[3_6_8_13]
89,可以 提前 来看 房间 ， 如 需要 ， 可 ride 你 过来 。,可以 提前 来看 房间 ， 如 需要 ， 可 让 你 搭车 过来 。,[],[9],[9_11],[4_7_12],[4_7_13]
90,1，3，4，5，6，10，15，20，21，36，83，84，95 gone 了,1，3，4，5，6，10，15，20，21，36，83，84 ， 95 没了,[],[0_1],[0_1_2_3],,[0_1]
91,discover 信用卡 discover 可 作为 入门 信用卡 ， 要求 门槛 低 ， 适合 学生 等 没有 信用 记录 的 群体 。,探索 （ 名字 ） 信用卡 探索 可 作为 入门 信用卡 ， 要求 门槛 低 ， 适合 学生 等 没有 信用 记录 的 群体 。,[],[0_2],[0_1_2_3_5],[7_11_20],[1_3_10_14_23]
92,还有 其他 几 张 信用卡 后面 再加 ， 各 个 信用卡 都 有 不同 的 福利 ， 比如 租车 保险 ， purchase cash back 等等 ， 感兴趣 的 请 自行 google 。,还有 其他 几 张 信用卡 后面 再加 ， 各 个 信用卡 都 有 不同 的 福利 ， 比如 租车 保险 ， 购买 现金 等等 ， 感兴趣 的 请 自行 谷歌 。,[],[21_22_23_30_31],[21_22_29_30],[7_16_20_25_31],[7_16_20_24_30]
95,best 评为 a 级 。,最 好 的 评为 第一 级,[],[0_2],[0_1_2_4],[4],
96,将 这个 电子 保单 和 email 里 的 保险 确认 信 visa letter 发给 学校 ， 证明 你 已经 购买 符合 学校 标准 的 保险 。,将 这个 电子 保单 和 邮件 里 的 保险 确认 信 确认 信 发给 学校 ， 证明 你 已经 购买 符合 学校 标准 的 保险 。,[],[5_11_12],[5],[15_25],[15_25]
97,优点 ： state college 性价比 最高 的 一 室 一 厅 。,优点 ： 斯泰特 克里奇 性价比 最高 的 一 室 一 厅 。,[],[2_3],[2_3],[1_11],[1_11]
98,汽车 现在 是 学期 中 可以 坐 n v w ne nv vn ， 不 是 学期 中 坐 n v w a 。,汽车 现在 是 学期 中 可以 坐 n v w ne nv vn 公交 路线 ， 不 是 学期 中 坐 n v w a 号 公交 路线 。,[n_v_w_ne_nv_vn_n_v_w_a],[7_8_9_10_11_12_13_19_20_21_22_23],[7_8_9_10_11_12_13_14_15_21_22_23_24_25_26_27_28],[13_23],[15_28]
99,公寓 在 二 楼 ， college court 比较 靠 里 的 building ， 很 安静 。,公寓 在 二 楼 ， 大学 场 比较 靠 里 的 楼 ， 很 安静 。,[],[5_6_11_12],[5_6],[4_12_15],[4_12_15]
100,联系 方式 贺 女士 tel : pn-2 ( messages only ) ;,联系 方式 贺 女士 电话 号码 : pn-2 ( 仅限 短信 ） ;,[],[4_5_6_7_8_9_10_11],[4_5_6_7_8_9_10_11_12],[5_6_7_10_11],[6_7_8_11_12]
101,vv 有 clubhouse ， 可以 健身 ， 夏季 可以 游泳 。,巴埃罗村庄 小区 有 活动室 ， 可以 健身 ， 夏季 可以 游泳 。,[],[0_2_3],[0_1_3_4],[3_6_10],[4_7_11]
103,家 附近 有 公交 v ， ve 和 vn 。,家 附近 有 公交 v ， ve 和 vn 号 公交,[v_ve_vn],[4_5_6_8_9],[4_5_6_8_9],[5_9],[5]
105,newark 也 接,纽瓦克 也 接,[],[0],[0],,
106,提供 费城 单程 或 往返 ride .,提供 费城 单程 或 往返 搭车,[],[5_6],[5],[6],
107,get your own room and share a bathroom 可以 签 半 年 或者 一 年 lease 。,有 一 个 自己 的 房间 然后 和 别人 共用 洗手间 可以 签 半 年 或者 一 年 租房 合同 。,[],[0_1_2_3_4_5_6_7_15_16],[0_2_3_4_5_6_7_8_9_10_18_19_20],[16],[20]
108,可以 给 1-2 个 人 提供 ride 。,可以 给 1-2 个 人 提供 搭车,[],[6_7],[6],[7],[2]
109,费用 依 目的地 而 定 ， 但 希望 离 charlottesville 越 近 越 好 。,费用 依 目的地 而 定 ， 但 希望 离 夏洛茨维尔 越 近 越 好 。,[],[9],[9],[5_14],[5_14]
110,欢迎 男生 （ master or phd ） 咨询,欢迎 男生 （ 硕士 或 博士生 ） 咨询,[],[3_4_5_6],[3_4_5_6],[2_6],[2_6]
111,至少 需要 两 间 卧室 （ 一 男 一 女 都 是 phd ） ， 或者 整 套 房子 。,至少 需要 两 间 卧室 （ 一 男 一 女 都 是 博士生 ） ， 或者 整 套 房子 。,[],[12_13_14],[12_13_14],[5_13_14_19],[5_13_14_19]
112,位于 bolton ave 。,位于 博尔顿 大道,[],[1_2_3],[1_2],[3],
113,房间 有 书桌 ， 衣柜 ， queen size 床 。,房间 有 书桌 ， 衣柜 ， 一 米 八 宽 的 床 。,[],[6_7],[6_7_8_9_10],[3_5_9],[3_5_12]
114,现在 已经 有 两 个 phd ， 一 男 一 女 ( 不 是 couple ) 。,现在 已经 有 两 个 博士生 ， 一 男 一 女 ( 不 是 情侣 ) 。,[],[5_6_14_15_16],[5_6_14_15_16],[6_11_15_16],[6_11_15_16]
115,【 提供 ride 】 3-7 本 周三 下午 费城 ！,【 提供 搭车 】 3-7 本 周三 下午 费城 ！,[],[0_2_3_4],[0_2_3_4],[0_3_9],[0_3_4_9]
116,转 lease 的 $300 我 出 ！,转租 房 合同 的 $300 我 出 ！,[],[1],[0_1_2],[6],[4_7]
117,park crest 属于 村里 性价比 很 高 的 小区 ， 很 难 申请 到 ， 当时 花 了 不少 时间 和 精力 申请 。,帕克 克莱斯特 属于 村里 性价比 很 高 的 小区 ， 很 难 申请 到 ， 当时 花 了 不少 时间 和 精力 申请 。,[],[0_1],[0_1],[9_14_23],[9_14_23]
119,jfk 不 去 了 ， 离 自己 的 目的地 太 远 。,肯尼迪 机场 不 去 了 ， 离 自己 的 目的地 太 远 。,[],[0],[0_1],[4_11],[5_12]
120,在 state college 买 菜 上学 等 代步 ， 性价比 高 。,在 斯泰特 克里奇 买 菜 上学 等 代步 ， 性价比 高 。,[],[1_2],[1_2],[8_11],[8_11]
121,无 事故 记录 （ clean title ， 可 提 供 vin 报告 ） ！,无 事故 记录 （ 无 拖车 记录 ， 可 提 供 车辆 识别码 报告 ） ！,[],[4_5_6_10],[5_11_12],[3_6_12_13],[3_7_14_15]
122,hello ， 房东 微 信 一直 加 不 上 ， 有 什么 别的 联系 方式 吗 ？,你 好 ， 房东 微 信 一直 加 不 上 ， 有 什么 别的 联系 方式 吗 ？,[],[0_1],[0_1_2],[1_9_16],[2_10_17]
123,直接 与 office 签约 。,直接 与 物业 办公室 签约 。,[],[2],[2_3],[4],[5]
125,小区 楼 间距 大 ， 采光 好 ， 有 很多 parking space ， 并且 没有 party ， 邻居 都 很 安静 。,小区 楼 间距 大 ， 采光 好 ， 有 很多 停车位 ， 并且 没有 派对 ， 邻居 都 很 安静 。,[],[10_11_12_15_16],[10_11_14_15],[4_7_12_16_21],[4_7_11_15_20]
126,价格 便宜 ， 暂定 $400 全 包 （ 可 协商 ） ， 不 需要 支付 任何 额外 费用 ， 包括 所有 utilities ， 定价 透明 清楚 。,价格 便宜 ， 暂定 $400 全 包 （ 可 协商 ） ， 不 需要 支付 任何 额外 费用 ， 包括 所有 水电费 ， 定价 透明 清楚 。,[],[21_22],[21_22],[2_7_10_11_18_22_26],[2_4_7_10_11_18_22_26]
128,请 短信 联系 814-777 - one five five zero,请 短信 联系 814-777 - 1550,[],[5_6_7_8],[5],[4],[3_4]
129,大家 都 知道 park crest 是 村里 高 性价比 小区 之一 。,大家 都 知到 帕克 克莱斯特 是 村里 高 性价比 小区 之一 。,[],[3_4],[2_3_4],[11],[11]
130,走路 即 可 到 giant ， 东方 超市 购物 。,走路 即 可 到 伟大 超市 ， 东方 超市 购物 。,[],[4_5],[4],[5_9],[6_10]
131,坐标 ： college court ， 东方 超市 旁边 ， giant 超市 对面 。,坐标 ： 大学 场 小区 ， 东方 超市 旁边 ， 伟大 超市 对面 。,[],[2_3_4_9],[2_3_4_5_10],[1_4_8_12],[1_5_9_13]
132,好 房 短 租 park forest apartment 两 室 一 厅 ， 入住 时间 可 商议 。,好 房 短 租 帕克 克莱斯特 小区 两 室 一 厅 ， 入住 时间 可 商议 。,[],[4_5_6],[4_5_6],[11_16],[11_16]
134,最好 可以 签 lease 。,最好 可以 签 租房 合同,[],[3_4],[3_4],[4],
135,cherry red 是 不 是 比较 吵 ?,车 厘红 是 不 是 比较 吵,[],[0_1],[0_1],[7],
138,park crest 属于 村里 性价比 很 高 的 小区 ， 当时 申请 也 花 了 不少 时间 功夫 。,帕克 克莱斯特 属于 村里 性价比 很 高 的 小区 ， 当时 申请 也 花 了 不少 时间 功夫 。,[],[0_1],[0_1],[9_18],[9_18]
139,车 在 state college pa 。,车 在 宾夕法尼亚 斯泰特 克里奇,[],[2_3_4_5],[2_3_4],[5],
140,park crest 优先 ！,帕克 克莱斯特 优先 ！,[],[0_1],[0_1],[3],[3]
143,html 一 年 前 收到 的 吧 。,超文本 标记 语言 一 年 前 收到 的 吧 。,[],[0],[0_1_2],[7],[9]
144,tel ： 814-8269093 ( 请 注明 是 租房 ) email : em@3,电话 号码 ： 814-8269093 ( 请 注明 是 租房 ) 邮箱 : em@3,[],[0_1_2_3_9_10_11],[0_1_2_3_4_10_11_12],[1_3_8_10_11],[2_3_4_9_11_12]
145,地下室 改造 成 了 独立 的 studio ， 有 独立 的 出口 ， 厨房 和 卫浴 。,地下室 改造 成 了 独立 的 单人间 ， 有 独立 的 出口 ， 厨房 和 卫浴 。,[],[6_7],[6_7],[7_12_16],[7_12_16]
146,hi 各位 ， 组团 去 boston ， 租车 或 开 我 的 车 。,嗨 各位 ， 组团 去 波士顿 ， 租车 或 开 我 的 车 。,[],[0_5_6],[0_5_6],[2_6_13],[2_6_13]
147,4-17 ， labor day 假期 。,4-17 ， 劳动节 假期 。,[],[0_1_2_3],[0_1_2],[1_5],[0_1_4]
149,超 好 的 house,超 好 的 房子,[],[3],[3],,
150,【 update 】 房间 还在,【 更新 】 房间 还在,[],[0_1_2],[0_1_2],[0_2],[0_2]
151,phd 最后 半 年 ， 女生 。,博士生 最后 半 年 ， 女生 。,[],[0],[0],[4_6],[4_6]
152,现 住 在 park crest terrace 。,现 住在 帕克 克莱斯特 小区 叠层 房,[],[3_4_5_6],[1_2_3_4_5_6],[6],
153,我 有 个 apartment 在 downtown ， 感兴趣 联系 我 哦 pn-3,我 有 个 住房 在 市中心 ， 感兴趣 联系 我 哦 pn-3,[],[3_5_6],[3_5_6],[6_11],[6_11]
154,mid march 起 ， 一 年 。,三月 中旬 起 ， 一 年 。,[],[0_1],[0_1],[3_6],[3_6]
155,申请 费$35/人 ， 需要 和 office 签约 。,申请 费$35/人 ， 需要 和 物业 办公室 签约 。,[],[5],[5_6],[2_7],[1_2_8]
156,药房 ： rite aid,药房 ： 里 特 艾德,[],[2_3],[2_3_4],[1],[1]
157,健身 ： ymca （ 可以 游泳 、 攀岩 、 健身 、 打球 ） 。,健身 ： 健身房 （ 可以 游泳 、 攀岩 、 健身 、 打球 ） 。,[],[2_3],[2_3],[1_3_6_8_10_12_13],[1_3_6_8_10_12_13]
158,也 可以 直接 咨询 park forest apartment office 。,也 可以 直接 咨询 帕克 森林 小区 的 办公室,[],[4_5_6_7_8],[4_5_6_7_8],[8],
159,房间 还 available 吗 想 租 谢谢,房间 还 可住 吗 想 租 谢谢,[],[2],[2],,
160,这里 有 一 份 有偿 的 推荐 任务 ~ 国内 的 英语 培训 机构 要 招 english speaker （ 母语 ） 的 外教 ， 工作 地点 西安 ， 提供 工作 签证 。,这里 有 一 份 有偿 的 推荐 任务 ~ 国内 的 英语 培训 机构 要 招 说 英语 的 人 （ 母语 ） 的 外教 ， 工作 地点 西安 ， 提供 工作 签证 。,[],[16_17_18],[16_19_20],[8_18_20_23_27_31],[8_20_22_25_29_33]
161,交通 便利 ， 出门 就 是 r ， rp ， rc 等 公交 路线 ， 平均 大概 十 分钟 一 趟 。,交通 便利 ， 出门 就 是 r ， rp ， rc 等 公交 路线 ， 平均 大概 十 分钟 一 趟 。,[r_rp_rc],[6_7_8_9_10],[6_7_8_9_10],[2_7_9_14_21],[2_7_9_14_21]
162,已 email 联系 ， 盼 回复,已 邮件 联系 ， 盼 回复,[],[1],[1],[3],[3]
163,如有 意向 请 直接 联系 email ： em@4,如有 意向 请 直接 联系 邮箱 ： em@4,[],[5_6_7],[5_6_7],[6_7],[6_7]
164,sorry 桌子 先 不 出 了,抱歉 桌子 先 不 出 了,[],[0],[0],,
166,之前 无法 登陆 bbs 自行车 已 出,之前 无法 登陆 美国 二手 网站 自行车 已 出,[],[3],[3_4_5],,
167,房型 （ 具体 可以 参见 the pointe 官方 网站 ） ：,房型 （ 具体 可以 参见 破 音特 小区 官方 网站 ） ：,[],[5_6],[5_6_7],[1_9_10],[1_10_11]
168,请 问 studio 只是 一 间 房 还 是 单独 一 套 的 那 种 ？,请 问 单人间 只是 一 间 房 还 是 单独 一 套 的 那 种 ？,[],[2],[2],[15],[15]
169,若 直接 步行 去 学校 ， 也 只 需 二十 分钟 ， 比 parkway plaza 小区 离 学校 还 要 近 。,若 直接 步行 去 学校 ， 也 只 需 二十 分钟 ， 比 花园路 广场 小区 离 学校 还 要 近 。,[],[13_14],[13_14],[5_11_21],[5_11_21]
170,field ， 闲暇 时 可以 在 草坪 上 玩耍 。,牧场 ， 闲暇 时 可以 在 草坪 上 玩耍 。,[],[0_1],[0_1],[1_9],[1_9]
171,fully furnished 拎包 入住,全 家 具 的 房子 拎包 入住,[],[0_1],[0_1_2_3_4],,
172,直接 和 office 签 lease,直接 和 官方 办公室 签 租房 合同,[],[2_4],[2_3_5_6],,
173,你 好 ， 想 问 一下 是 需要 share 卫生间 的 吗 ？,你 好 ， 想 问 一下 是 需要 共用 卫生间 的 吗 ？,[],[8],[8],[2_12],[2_12]
174,html 小区 离 东方 超市 和 giant 非常 近 ， 可以 步行 买 菜 ， 购物 。,html 小区 离 东方 超市 和 伟大 超市 非常 近 ， 可以 步行 买 菜 ， 购物 。,[html],[0_6],[0_6],[9_14_16],[10_15_17]
175,deposit 是 一 个 月 房租 。,押金 是 一 个 月 房租 。,[],[0],[0],[6],[6]
176,dr 上 ， 有 rc ， rp,街道 上 ， 有 rc ， rp,[rc_rp],[0_4_5_6],[0_4_5_6],[2_5],[2_5]
177,房间 内 家具 齐全 ， 有 床 和 mattress 和 书桌 ， dishwasher,房间 内 家具 齐全 ， 有 床 和 床垫 和 书桌 ， 洗碗机,[],[8_12],[8_12],[4_11],[4_11]
