SentenceID,CodeSwitchedSentence,TranslatedSentence,UntranslatedWord,IndicesOfCodeSwitchedWord,IndicesOfCodeSwitchedWordInTranslation,IndicesOfPunctuation,IndicesOfPunctuationInTranslation
CMU_143,需要 房子 的 朋友 请 联系 我 呀 ， 这个 房子 依然 available 。,需要 房子 的 朋友 请 联系 我 呀 ， 这个 房子 依然 可 租 。,[],[12_13],[12_13_14],[8_13],[8_14]
CMU_145,且 在 寒冷 的 匹兹堡 cover 所有 暖气 费 ！,且 在 寒冷 的 匹兹堡 包含 所有 暖气 费 ！,[],[5],[5],[9],[9]
CMU_146,租 新房 还 得 大 冬天 往返 宜家 搬家 具 组装 家具 ， 折腾 一 遍 签 合同 接 电网 的 手续 ， 来 这 直接 拎包 入住 ， so easy ！,租 新房 还 得 大 冬天 往返 宜家 搬家 具 组装 家具 ， 折腾 一 遍 签 合同 接 电网 的 手续 ， 来 这 直接 拎包 入住 ， 很 方便 ！,[],[29_30_31],[29_30_31],[12_22_28_31],[12_22_28_31]
CMU_150,房间 宽敞 ， 客厅 更大 ， 可 开 party ， 卧室 里 各 式 家具 齐全 ， 拎包 入住 。,房间 宽敞 ， 客厅 更大 ， 可 开 派对 ， 卧室 里 各 式 家具 齐全 ， 拎包 入住 。,[],[8_9],[8_9],[2_5_9_16_19],[2_5_9_16_19]
CMU_151,欢迎 text ， 不 能 时时 接 电话 。,欢迎 来 短信 ， 不 能 时时 接 电话 。,[],[1_2],[1_2_3],[2_8],[3_9]
CMU_156,utility 不 包 。,公用 事业 不 包 。,[],[0],[0_1],[3],[4]
CMU_160,价格 ： $500 / 月 ， 包含 所有 utility 。,价格 ： $500 / 月 ， 包含 所有 水电气 等 服务费 。,[],[8_9],[8_9_10_11],[1_3_5_9],[1_2_3_5_11]
CMU_162,门口 有 bus 到 中国 店 等 。,门口 有 公交 到 中国 店 等 。,[],[2],[2],[7],[7]
CMU_164,路由器 是 dual band ！,路由器 是 双频的 ！,[],[2_3_4],[2_3],[4],[3]
CMU_165,价格 公道 ， 附近 其他 房子 算 utility fee 都 要 大概 700-800 左右 。,价格 公道 ， 附近 其他 房子 算 服务费 都 要 大概 700-800 左右 。,[],[7_8],[7],[2_14],[2_11_13]
CMU_169,（ utility 全 包 ） 。,（ 水电气 费 全 包 ） 。,[],[0_1],[0_1_2],[0_4_5],[0_5_6]
CMU_170,main office 就 在 地下 一 楼 ， 咨询 非常 方便 。,总 办公室 就 在 地下 一 楼 ， 咨询 非常 方便 。,[],[0_1],[0_1],[7_11],[7_11]
CMU_171,我 希望 租 一 个 房间 前 一 整 年 lease 。,我 希望 租 一 个 房间 前 一 整 年 的 租期 。,[],[10_11],[10_11_12],[11],[12]
CMU_177,全新 的 宜家 买 的 twin size 的 床 和 书桌 柜子 ， 房间 内 有 closet 。,全新 的 宜家 买 的 小 单人床 的 床 和 书桌 柜子 ， 房间 内 有 衣柜 。,[],[5_6_16_17],[5_6_16_17],[12_17],[12_17]
CMU_178,pn-3 call 或者 text 都 阔 以 。,pn-3 打 电话 或者 发 短信 都 阔 以 。,[],[0_1_3],[0_1_2_4_5],[0_7],[0_9]
CMU_179,只 用 交 electronic utility ， 三 人 平分 。,只用 交电费 ， 三 人 平分 。,[],[3_4_5],[0_1_2],[5_9],[2_6]
CMU_180,我俩 都 是 刚 毕业 没 多久 的 young professional ， 安静 好 相处 ， 会 居家 也 爱 出去 浪 。,我俩 都 是 刚 毕业 没 多久 的 年轻 职员 ， 安静 好 相处 ， 会 居家 也 爱 出去 浪 。,[],[8_9_10],[8_9_10],[10_14_21],[10_14_21]
CMU_184,另 有 全套 基本 家具 （ full size 床 / 书桌 / 柜子 / 空调 ） 如 需要 可 低价 转让 。,另 有 全套 基本 家具 （ 单人床 / 书桌 / 柜子 / 空调 ） 如 需要 可 低价 转让 。,[],[6_7],[6_7],[5_9_11_13_15_21],[5_7_9_11_13_19]
CMU_185,可以 share 大部分 家用 电器 ， 厨房 用品 ， 家具 等 。,可以 共用 大部分 家用 电器 ， 厨房 用品 ， 家具 等 。,[],[1],[1],[5_8_11],[5_8_11]
CMU_190,一 楼 还 有 一 个 健身房 ， 及 vending machine + 小 食品 店 ， 深夜 饿 了 买 吃 的 方便 。,一 楼 还 有 一 个 健身房 ， 及 自动 售卖 机和 小 食品 店 ， 深夜 饿 了 买 吃 的 方便 。,[],[9_10_11],[9_10_11],[7_11_15_23],[7_15_23]
CMU_192,utility 公寓 全 包 ， 网 费 三 人 均摊 。,水电气 等 费用 公寓 全 包 ， 网 费 三 人 均摊 。,[],[0],[0_1_2],[4_10],[6_12]
CMU_193,家具 ： 整个 house 家具 齐全 ， 出租 卧室 家具 齐全 ， 可以 打包 低价 转让 ， 方便 拎包 入住 。,家具 ： 整个 房子 家具 齐全 ， 出租 卧室 家具 齐全 ， 可以 打包 低价 转让 ， 方便 拎包 入住 。,[],[3],[3],[1_6_11_16_20],[1_6_11_16_20]
CMU_194,次 卧室 也 不 小 ， 可以 放 full size bed ， 面向 后院 安静 。,次 卧室 也 不 小 ， 可以 放 单人床 ， 面向 后院 安静 。,[],[8_9_10_11],[8_9],[5_11_15],[5_9_13]
CMU_198,这个 房间 在 夏季 是 整 个 house 最 凉爽 的 屋子 ， 最 热 的 时候 也 可以 不 开 风扇 。,这个 房间 在 夏季 是 整个 房子 最 凉爽 的 屋子 ， 最 热 的 时候 也 可以 不 开 风扇 。,[],[7],[5_6],[12_22],[11_21]
CMU_199,房间 / 客厅 / share 都 可以 ， 有 张 床 就 行 。,房间 / 客厅 / 共用 都 可以 ， 有 张 床 就 行 。,[],[4],[4],[1_3_7_13],[1_3_7_13]
CMU_201,卧室 里 有 一 个 queen bed ， 凉台 上 又 一 个 twin bed 。,卧室 里 有 一 个 标准 双人床 ， 凉台 上 又 一 个 单人床 。,[],[5_6_7_13_14_15],[5_6_7_13_14],[7_15],[7_14]
CMU_203,两 个 block 内 有 各 种 吃 = 的 ， 银行 和 小 超市 。,两 个 街区 内 有 各 种 吃 = 的 ， 银行 和 小 超市 。,[],[2],[2],[8_10_15],[8_10_15]
CMU_204,about apt ： 两 室 一 厅 ， 一 个 卫生间 ， 空间 很大 ， 朝向 为 南 ， 所以 有 充足 的 阳光 。,关于 公寓 ： 两 室 一 厅 ， 一 个 卫生间 ， 空间 很大 ， 朝向 为 南 ， 所以 有 充足 的 阳光 。,[],[0_1_2],[0_1_2],[2_7_11_14_18_24],[2_7_11_14_18_24]
CMU_206,bedroom ， den ， 和 hallway 均 有 closet 3 .,卧室 ， 小 房间 ， 和 门廊 都 有 衣柜 。,[],[0_1_2_3_5_8_9_10],[0_1_2_3_4_6_7_9_10],[1_3_10],[1_4_10]
CMU_207,bedroom 和 den 之间 有 一 扇 滑动 门 地图 ：,房间 和 之间 有 一 扇 滑动 门 地图 ：,[],[0_2],[0],[10],[9]
CMU_208,同 问 楼主 这个 house 现在 还 在 招租 吗 ？,同 问 楼主 这个 房子 现在 还 在 招租 吗 ？,[],[4],[4],[10],[10]
CMU_209,洗 手间 春天 刚 remodel 过 很 干净 。,洗 手间 春天 刚 改造 过 很 干净 。,[],[4],[1_4],[8],[8]
CMU_210,公寓 有 free parking 。,公寓 有 免费 停车场 。,[],[2_3_4],[2_3_4],[4],[4]
CMU_211,manager 很 nice ， 有 问题 会 及时 给 解决 。,经理 很 好 ， 有 问题 会 及时 给 解决 。,[],[0_2_3],[0_2_3],[3_10],[3_10]
CMU_212,洗衣 房 在 basement ；,洗衣房 在 地下室 ；,[],[3_4],[0_2_3],[4],[3]
CMU_214,楼道 building manager 和蔼可亲 。,楼道 物业 经理 和蔼可亲 。,[],[1_2],[1_2],[4],[4]
CMU_216,room : 超大 空间 ， 包 家具 ， 直接 入住 。,房间 : 超大 空间 ， 包 家具 ， 直接 入住 。,[],[0_1],[0_1],[1_4_7_10],[1_4_7_10]
CMU_218,附近 house 的 地下室 或者 车库 都 是 可以 的 。,附近 房子 的 地下室 或者 车库 都 是 可以 的 。,[],[1],[1],[10],[10]
CMU_219,家具 ： queen size 床 ， 桌子 转椅 台灯 ， 有 吊扇 和 顶灯 。,家具 ： 标准 双人床 ， 桌子 转椅 台灯 ， 有 吊扇 和 顶灯 。,[],[2_3],[2_3_4],[1_5_9_14],[1_4_8_13]
CMU_222,后院 有 double deck ， 很 休闲 安静 。,后院 有 双层 露台 ， 很 休闲 安静 。,[],[2_3_4],[2_3_4],[4_8],[4_8]
CMU_223,同学 自己 申请 和 分摊 utility .,同学 自己 申请 和 分摊 水电气 费 。,[],[5_6],[5_6_7],[6],[7]
CMU_225,其他 utility 按 人头 平分 。,其他 服务费 按 人头 平分 。,[],[1],[1],[5],[5]
CMU_226,电话 ： pn-4 ， email,电话 ： pn-4 ， 邮箱,[],[4],[4],[1_2_3],[1_2_3]
CMU_228,现在 还是 available 吗 ？,现在 还是 空闲 的 吗 ？,[],[2],[2_3],[4],[5]
CMU_231,house 一共 有 三 间 卧室 ， 另外 两 间 分别 住 了 一 个 匹 大 本科 美国 女生 ， 和 一 个 匹 大 博士后 中国 男生 。,房子 一共 有 三 间 卧室 ， 另外 两 间 分别 住 了 一 个 匹 大 本科 美国 女生 ， 和 一 个 匹 大 博士后 中国 男生 。,[],[0],[0],[6_20_29],[6_20_29]
CMU_233,房子 目前 几乎 是 fully furnished ， 含 电视 ， 床 ， 书桌 ， 餐厅 大 桌子 ， 椅子 等 。,房子 目前 几乎 是 家具 齐全 ， 含 电视 ， 床 ， 书桌 ， 餐厅 大 桌子 ， 椅子 等 。,[],[4_5_6],[4_5_6],[6_9_11_13_17_20],[6_9_11_13_17_20]
CMU_238,之前 选 这个 房子 也 是 因为 小区 非常 安静 ， 邻居 都 很 nice ， 房子 特别 新 。,之前 选 这个 房子 也 是 因为 小区 非常 安静 ， 邻居 人 都 很 好 ， 房子 特别 新 。,[],[14_15],[12_15_16],[10_15_19],[10_16_20]
CMU_239,如果 renew ， 也 是 yearly lease 从 夏天 都 夏天 。,如果 更新 ， 也 是 一 年 期 租约 从 夏天 都 夏天 。,[],[1_2_5_6],[1_2_5_6_7_8],[2_11],[2_13]
CMU_240,不 包括 utilities .,不 包括 水电气 等 服务费 。,[],[2_3],[2_3_4_5],[3],[5]
CMU_241,同学 之间 分摊 utilities .,同学 之间 分摊 水电气 等 服务费 。,[],[3_4],[3_4_5_6],[4],[6]
CMU_244,朋友 来 聚餐 ， 开 party 都 有 足够 空间 。,朋友 来 聚餐 ， 开 派对 都 有 足够 空间 。,[],[5],[5],[3_10],[3_10]
CMU_245,松鼠 山 公寓 很少 ， 所以 我 的 房子 既 能 享受 apartment 的 物业 ， 又 能 享受 松鼠 山 的 优越 位置 。,松鼠山 公寓 很少 ， 所以 我 的 房子 既 能 享受 公寓 的 物业 ， 又 能 享受 松鼠 山 的 优越 位置 。,[],[12],[0],[4_15_24],[3_14_23]
CMU_246,这 附近 的 apartment 的 租金 至少 都 是 这个 房子 的 1 .,这 附近 的 公寓 的 租金 至少 都 是 这个 房子 的 1 。,[],[3],[3_12_13],[13],[13]
CMU_247,顶 个 ~ update 一下 ： 房子 还 在 。,顶 个 ~ 更新 一下 ： 房子 还 在 。,[],[3],[3],[2_5_9],[2_5_9]
CMU_248,适合 爸 妈 来 visit ， 男女 朋友 来 visit ， 各 种 。,适合 爸 妈 来 玩 ， 男女 朋友 来 玩 ， 各 种 。,[],[4_5_9_10],[4_5_9_10],[5_10_13],[5_10_13]
CMU_249,apartment 是 一 房 一 厅 ， 一 厨房 ， 一 卫浴 。,公寓 是 一 房 一 厅 ， 一 厨房 ， 一卫浴 。,[],[0],[0_10_11],[6_9_12],[6_9_11]
CMU_256,现在 就 可以 move in !,现在 就 可以 入住 ！,[],[3_4_5],[3_4],[5],[4]
CMU_257,周围 有 很多 餐馆 ， pizza 店 以及 很多 亚洲 食物 ；,周围 有 很多 餐馆 ， 披萨店 以及 很多 亚洲 食物 ；,[],[5],[5],[4_11],[4_10]
CMU_259,上学 放学 so easy ！,上学 放学 很 方便 ！,[],[2_3_4],[2_3_4],[4],[4]
CMU_265,类型 ： apartment 。,类型 ： 公寓 。,[],[2_3],[2_3],[1_3],[1_3]
CMU_266,夏天 开始 ， yearly lease 。,夏天 开始 ， 一 年 租期 。,[],[3_4_5],[3_4_5_6],[2_5],[2_6]
CMU_267,小区 环境 非常 幽静 ： 有 多 处 playground 和 公园 ， 很 适合 有 孩子 （ 和 老人 ） 的 家庭 在,小区 环境 非常 幽静 ： 有 多 处 休闲 场地 和 公园 ， 很 适合 有 孩子 （ 和 老人 ） 的 家庭 在,[],[8],[8_9],[4_11_16_19],[4_12_17_20]
CMU_269,房间 明亮 宽敞 ， 干净 整洁 ， 有 walk in closet ， 家具 齐全 ， 可 拎包 入住 。,房间 明亮 宽敞 ， 干净 整洁 ， 有 步入 式 衣柜 ， 家具 齐全 ， 可 拎包 入住 。,[],[8_9_10_11],[8_9_10_11],[3_6_11_14_18],[3_6_11_14_18]
CMU_270,有 一 个 fireplace ， 中央 空调 。,有 一 个 火炉 ， 中央 空调 。,[],[3_4],[3_4],[4_7],[4_7]
CMU_276,安全 环境 好 ， 物业 超 nice 。,安全 环境 好 ， 物业 超棒 。,[],[6_7],[5_6],[3_7],[3_6]
CMU_277,prefer 男生 。,更 希望 是 男生 。,[],[0],[0_1_2],[2],[4]
CMU_278,其他 附近 的 房子 可能 有 个别 卧室 或者 house 也 可以 夏天 短 租 的 。,其他 附近 的 房子 可能 有 个别 卧室 或者 整 套 房子 也 可以 夏天 短 租 的 。,[],[9],[9_10],[16],[18]
