sent_type,university,sent_id,original_sentence,translation,word_id,first_cs_word_form,first_cs_word_translation,frequency_negative_ln_first_cs_word_trans,surprisal_first_cs_word_trans,pos_tag_first_cs_word_trans,governor_first_cs_word_trans,deprel_first_cs_word_trans,surprisal_values,average_surprisal,bilingual_corpus_frequency_negative_log_first_cs_word,bilingual_corpus_frequency_negative_log_first_cs_word_trans,length_first_cs_word_form,length_first_cs_word_trans,dependency_distance,if_it_is_root,if_previous_word_is_punctuation,surprisal_of_previous_word,25_50_25_percent_location,10_80_10_percent_location,30_40_30_percent_location,first_middle_last_location,translation_sentence_length
code-switch,CMU,17,有 兴趣 者 ， 请 email 短信 介绍 一下 自己 情况 。,有 兴趣 者 ， 请 发送 短信 介绍 一下 自己 情况 。,6,email,发送,38.68219437043111,5.355831,VV,0,root,2.715695 4.139023 3.022636 0.6238034 3.313639 5.355831 1.836648 4.805568 3.053878 1.931871 4.49036 0.7784541,3.0056172083333337,7.630218513876136,10.220485679321962,5,2,0,1,0,3.313639,2,2,2,2,12
code-switch,CMU,18,半山 独 栋 别墅 ， 自 带 车库 和 driveway 。,半山 独 栋 别墅 ， 自 带 车库 和 私人 车道 。,10,driveway,私人,36.80771240799571,3.668677,JJ,11,amod,5.637844 5.678452 3.272605 2.500991 0.544068 3.147691 4.49099 5.980581 1.43785 3.668677 4.059361 1.085591,3.4587250833333343,12.012245148550017,10.402807236115917,8,2,1,0,0,1.43785,3,2,3,2,12
code-switch,CMU,19,一 楼 有 half bath 。,一 楼 有 半 浴室 。,4,half,半,36.71895655050764,3.454723,CD,5,dep,2.791026 5.695485 2.147275 3.454723 5.558517 1.046625,3.448941833333333,10.066334999494703,8.967722710826594,4,1,1,0,0,2.147275,2,2,2,2,6
code-switch,CMU,22,精装 修 家具 全 free 无线 上网 !,精装 修 家具 全 免费 无线 上网 !,5,free,免费,38.15362473674615,5.015528,JJ,7,amod,5.804013 4.939471 5.585263 3.700925 5.015528 2.859978 0.5855799 4.898229,4.1736233625,8.9212026951917,7.721785707401626,4,2,2,0,0,3.700925,2,2,2,2,8
code-switch,CMU,25,对比 其他 地方 ， 可能 和 很多 人 share ， 并且 还 很 贵 ！,对比 其他 地方 ， 可能 和 很多 人 共用 ， 并且 还 很 贵 ！,9,share,共用,40.0576172186791,10.16642,JJ,14,dep,4.759578 1.553222 1.825154 0.8829458 2.80618 2.275777 3.728692 1.283624 10.51329 1.197862 2.404721 2.04499 2.718947 6.129158 4.027408,3.210103253333334,7.7081800553458475,11.319097967990071,5,2,5,0,0,1.283624,2,2,2,2,15
code-switch,CMU,26,房东 非常 无敌 nice 还 会 帮忙 丢 垃圾 ！,房东 非常 无敌 好 还 会 帮忙 丢 垃圾 ！,4,nice,好,33.99205262349187,4.612996,AD,7,advmod,6.258925 4.013741 6.440294 4.612996 4.039603 1.467317 3.048277 5.527355 2.314101 3.42206,4.1144669,7.792737443373911,6.786498474836816,4,1,3,0,0,6.440294,2,2,2,2,10
code-switch,CMU,30,户型 ： 一 楼 是 超大 living room ， dining room 及 厨房 ；,户型 ： 一 楼 是 超大 客厅 ， 餐厅 及 厨房 ；,7,living,客厅,39.6219352948563,6.825455,NN,11,dep,6.482378 2.276336 2.337307 5.848589 1.85848 5.275753 6.825455 0.8922411 4.948161 2.290288 2.268386 2.668459,3.664319424999999,8.644949318563542,7.630218513876136,6,2,4,0,0,5.275753,2,2,2,2,12
code-switch,CMU,31,长 租 all gone ！,长 租 全部 租出 ！,3,all,全部,35.54886904599194,4.537052,DT,4,det,3.13938 4.953151 4.537052 4.4051 4.382312,4.283399,9.815020571213797,9.527338498762017,3,2,1,0,0,4.953151,2,2,2,2,5
code-switch,CMU,35,有 pet 可以 商量 正规 物业 管理 ， pa 法律 规定 租房 合同 ， 保护 双方 权益 ， 安心 入住 。,有 宠物 可以 商量 正规 物业 管理 ， 宾州 法律 规定 租房 合同 ， 保护 双方 权益 ， 安心 入住 。,2,pet,宠物,40.91055952677069,5.679086,NN,4,nsubj,2.715695 5.679086 2.246461 5.10237 5.394323 5.486727 4.318769 1.058464 5.26095 4.859396 1.509301 7.061756 2.432533 0.6128892 4.319332 4.51813 3.831482 0.7667135 5.8026 5.740441 0.9292497,3.792698495238095,10.625950787430126,10.220485679321962,3,2,2,0,0,2.715695,1,1,1,2,21
code-switch,CMU,36,欢迎 email 联系 咨询 。,欢迎 发 邮件 联系 咨询 。,2,email,发,34.92896808073729,5.297529,VV,1,ccomp,5.269867 5.297529 5.67024 3.218899 5.395529 1.307169,4.359872166666666,7.630218513876136,8.716408282545688,5,1,1,0,0,5.269867,2,2,2,2,6
code-switch,CMU,45,所有 想 寄 想 return 的 东西 ， 直接 放在 公寓 一 楼 就 可以 。,所有 想 寄 想 退还 的 东西 ， 直接 放在 公寓 一 楼 就 可以 。,5,return,退还,39.142593313510076,6.251147,VV,4,ccomp,3.213507 3.934522 5.699054 4.474885 6.251147 1.292597 3.490744 0.5892994 3.87222 2.438411 4.422504 2.84408 5.442994 3.865702 1.408872 2.358855,3.4749620875,11.319097967990071,12.012245148550017,6,2,1,0,0,4.474885,2,2,2,2,16
code-switch,CMU,46,免费 送 顶楼 view 和 顶楼 的 阳光 普照 !,免费 送 顶楼 景观 和 顶楼 的 阳光 普照 !,4,view,景观,38.44671026654459,5.143289,NN,6,conj,4.772542 5.323745 6.185939 5.143289 1.736748 5.847033 0.9520925 4.386751 4.060257 4.401905,4.28103015,10.220485679321962,12.012245148550017,4,2,2,0,0,6.185939,2,2,2,2,10
code-switch,CMU,49,bathroom : 二 楼 和 地下室 各 有 一 个 卫生间,浴室 : 二 楼 和 地下室 各 有 一 个 卫生间,1,bathroom,浴室,40.402814183789445,5.886802,NN,8,nmod:topic,5.886802 3.990607 4.232983 2.031714 1.840524 4.842676 4.231431 1.233011 0.6812197 5.503237 4.93294,3.5824677000000005,8.61104776688786,9.709660055555972,8,2,7,0,,,1,1,1,1,11
code-switch,CMU,53,适合 couple 或 单身 居住 。,适合 情侣 或 单身 居住 。,2,couple,情侣,41.24197479182989,5.668503,NN,5,conj,5.100725 5.668503 1.859549 5.150689 2.683036 1.249253,3.618625833333333,9.614349875751646,10.913632859881908,6,2,3,0,0,5.100725,2,2,2,2,6
code-switch,CMU,56,有 车库 ， off street parking .,有 车库 ， 路 外 停车场 。,4,off,路,35.94251566691263,4.854201,NN,6,compound:nn,2.715695 5.391269 0.6238034 4.854201 3.759812 5.10788 0.794089,3.3209641999999997,10.402807236115917,11.319097967990071,3,1,2,0,1,5.391269,2,2,2,2,7
code-switch,CMU,57,要求 ： no smoking ， no pets ， no parties .,要求 ： 禁止 吸烟 ， 禁止 宠物 入内 ， 禁止 举办 派对 。,3,no,禁止,36.93404500434029,4.489005,VV,1,ccomp,4.813935 2.389885 4.489005 2.324238 1.189265 3.993038 4.671572 10.51329 1.197862 3.924692 3.516026 3.472183 0.7998947,3.638068130769231,9.614349875751646,12.012245148550017,2,2,2,0,1,4.813935,1,2,1,2,13
code-switch,CMU,62,house 里面 有 一 个 shared kitchen 和 dining room ， 烤箱 微波炉 洗衣机 都 有 ， 餐具 也 可以 和 家 里 其他 人 share 。,房子 里面 有 一 个 公共 厨房 和 餐厅 ， 烤箱 微波炉 洗衣机 都 有 ， 餐具 也 可以 和 家 里 其他 人 共用 。,1,house,房子,37.40390285781066,5.512905,NN,2,compound:nn,5.512905 2.721907 1.338366 1.053606 5.503237 3.350423 4.166602 1.306866 1.338908 0.6962472 6.954485 6.483206 6.454674 2.329598 1.13947 1.940914 6.059272 1.748957 1.555099 2.230852 4.266731 3.600037 3.54543 3.374271 10.51329 1.427697,3.4851173153846142,6.694125154705801,7.084991463392813,5,2,1,0,,,1,1,1,1,26
code-switch,CMU,64,一 层 有 doorman 帮忙 开门 和 收发 快递 ， 不用 担心 快递 丢失 等 问题 ；,一 层 有 门卫 帮忙 开门 和 收发 快递 ， 不用 担心 快递 丢失 等 问题 ；,4,doorman,门卫,42.62928595636416,5.924223,NN,5,nsubj,2.791026 2.89797 2.120752 5.924223 5.556201 5.855171 1.99024 5.410367 6.423736 1.584157 4.428697 1.413452 6.046609 5.809309 2.508252 2.308789 1.973128,3.8260046470588227,9.93280360687018,11.319097967990071,7,2,1,0,0,2.120752,1,2,1,2,17
code-switch,CMU,67,八月 开始 可 签 一 年 lease 。,八月 开始 可 签 一 年 租约 。,7,lease,租约,41.57872850128562,5.26434,NN,4,dobj,4.302052 2.663521 4.100472 5.744014 2.150431 0.4045706 5.26434 1.225863,3.23190795,7.34880605443795,10.066334999494703,5,2,3,0,0,0.4045706,3,2,3,2,8
code-switch,CMU,68,性格 非常 nice 好 相处 ， 绝对 不 会 打扰 你 。,性格 非常 好 好 相处 ， 绝对 不 会 打扰 你 。,3,nice,好,33.99205262349187,1.808211,JJ,5,amod,4.531389 1.781411 1.808211 4.721241 3.915567 0.7833342 4.544313 1.185932 2.945629 4.850398 1.571177 0.8059883,2.787049208333333,7.792737443373911,6.786498474836816,4,1,2,0,0,1.781411,1,2,1,2,12
code-switch,CMU,69,［ 治安 ］ 附近 治安 好 ， 公寓 有 doorman ， 收发 快递 也 方便 。,［ 治安 ］ 附近 治安 好 ， 公寓 有 门卫 ， 收发 快递 也 方便 。,10,doorman,门卫,42.62928595636416,5.869847,NN,9,dobj,5.194147 5.250388 6.208732 4.069185 4.178795 3.183764 1.148435 5.263488 2.746676 5.869847 1.079181 6.134986 6.14892 3.148362 4.082433 1.293804,4.0625714375,9.93280360687018,11.319097967990071,7,2,1,0,0,2.746676,2,2,2,2,16
code-switch,CMU,76,an open-air shopping 经历 。,一 次 露天 购物 经历 。,1,an,一,31.937972593395806,2.791026,CD,4,nummod,2.791026 1.386087 5.349654 5.400501 4.979455 1.138621,3.507557333333333,12.012245148550017,5.464026045787644,2,1,3,0,,,1,2,1,1,6
code-switch,CMU,79,（ 对比 其他 地方 ， 可能 和 很多 人 share ， 并且 还 很 贵 ！,（ 对比 其他 地方 ， 可能 和 很多 人 共用 ， 并且 还 很 贵 ！,10,share,共用,40.0576172186791,10.16642,JJ,15,dep,2.636784 5.208936 2.244044 1.825154 0.8829458 2.80618 2.275777 3.728692 1.283624 10.51329 1.197862 2.404721 2.04499 2.718947 6.129158 4.027408,3.24553205,7.7081800553458475,11.319097967990071,5,2,5,0,0,1.283624,2,2,2,2,16
code-switch,CMU,83,附近 neighborhood 非常 安静 也 非常 安全 ， 临近 富人 区 。,附近 街区 非常 安静 也 非常 安全 ， 临近 富人 区 。,2,neighborhood,街区,40.108620190294495,4.005742,NN,4,nsubj,4.302052 4.005742 4.259539 3.362691 3.304013 2.780048 3.275451 0.7766016 4.697981 5.747021 1.320391 0.5314789,3.1969174583333344,10.625950787430126,10.066334999494703,12,2,2,0,0,4.302052,1,2,1,2,12
code-switch,CMU,84,房子 目前 half furnished ，,房子 目前 装修 了 一半 ，,3,half,装修,39.916143013538196,5.853029,VV,0,root,5.512905 4.075258 5.853029 2.06606 3.584112 0.5963829,3.6146244833333334,10.066334999494703,9.527338498762017,4,2,0,1,0,4.075258,2,2,2,2,6
code-switch,CMU,85,房子 目前 几乎 是 fully furnished ， 含 电视 ， 床 ， 书桌 ， 餐厅 大 桌子 ， 椅子 ， 生活 用品 基本 齐全 。,房子 目前 几乎 是 完整 装修 ， 含 电视 ， 床 ， 书桌 ， 餐厅 大 桌子 ， 椅子 ， 生活 用品 基本 齐全 。,5,fully,完整,36.35661962183296,2.684045,JJ,6,amod,5.512905 4.075258 3.372431 1.533199 2.684045 6.224767 0.7697079 4.372197 3.965559 2.017993 5.858712 1.459201 7.222059 0.8406437 4.891411 3.85801 4.925744 0.7938639 5.752962 1.504958 3.040445 7.434418 4.700052 3.899776 0.8626629,3.662919216,10.220485679321962,10.625950787430126,5,2,1,0,0,1.533199,1,2,1,2,25
code-switch,CMU,87,想 找 1-2 间 带 家具 的 house room 或者 apartment room ，,想 找 1-2 间 带 家具 的 住宅 房间 或者 公寓 房间 ，,8,house,住宅,37.05402241598139,3.890894,NN,12,compound:nn,4.705596 2.133937 10.51329 3.511236 3.61004 4.988709 1.33685 3.890894 4.52844 3.219029 4.965261 2.552972 1.107018,3.9279439999999997,6.694125154705801,10.625950787430126,5,2,4,0,0,1.33685,2,2,2,2,13
code-switch,CMU,89,房间 是 一 栋 house 的 顶层 ， 非常 宽敞 。,房间 是 一 套 房子 的 顶层 ， 非常 宽敞 。,4,house,套,36.67660432176399,2.08277,M,3,mark:clf,5.415995 2.180871 1.200952 2.08277 2.530627 1.075016 5.059387 0.8002014 4.018915 4.17708 1.303684,2.713227127272727,6.694125154705801,9.239656426310235,5,1,1,0,0,1.200952,2,2,2,2,11
code-switch,CMU,92,budget 灵活 。,资金 灵活 。,1,budget,资金,34.8100486507573,5.637844,NN,2,nsubj,5.637844 4.456716 1.057211,3.7172570000000005,10.625950787430126,12.012245148550017,6,2,1,0,,,2,2,2,1,3
code-switch,CMU,93,客厅 超大 ， walk-in closet 也 很 大 。,客厅 超大 ， 步入 式 衣柜 也 很 大 。,4,closet,步入,45.974090381236365,5.390434,VV,9,dep,6.258925 6.321009 2.144395 5.390434 2.772047 6.924273 3.261696 2.325765 3.476881 1.896284,4.0771709,8.08041951582569,12.012245148550017,6,2,5,0,1,6.321009,2,2,2,2,10
code-switch,CMU,95,如果 感 兴趣 ， 请 通过 email 联系 em@7,如果 感 兴趣 ， 请 通过 邮箱 联系 em@7,7,email,邮箱,41.26464014473956,4.955325,NN,8,nmod:prep,2.949325 5.120474 4.206441 0.547029 3.865889 4.282516 4.955325 4.667508 10.51329,4.567533,7.630218513876136,9.614349875751646,5,2,1,0,0,4.282516,3,2,3,2,9
code-switch,CMU,97,leasing office 就 在 lobby ， 员工 也 非常 好 ， 有 什么 问题 随时 可以 找 他们 沟通 解决 。,租约 办公室 就 在 大堂 ， 员工 也 非常 好 ， 有 什么 问题 随时 可以 找 他们 沟通 解决 。,1,leasing,租约,41.57872850128562,6.527233,NN,2,compound:nn,6.527233 4.914629 2.867431 0.5183236 4.624774 0.9808132 4.682058 2.387231 2.789711 2.029384 0.5531858 2.337913 2.820983 1.689087 6.610256 1.330245 3.746214 2.568305 4.054883 3.555143 1.194873,2.9896512190476194,10.625950787430126,10.066334999494703,7,2,1,0,,,1,1,1,1,21
code-switch,CMU,98,房东 人 很 nice 。,房东 人 很 好 。,4,nice,好,33.99205262349187,3.634527,VA,0,root,6.258925 2.767854 3.560996 3.634527 1.655329,3.5755262,7.792737443373911,6.786498474836816,4,1,0,1,0,3.560996,3,2,3,2,5
code-switch,CMU,99,由 正规 公司 管理 ， 欢迎 email 联系 咨询 详细 。,由 正规 公司 管理 ， 欢迎 发 邮件 联系 咨询 详细 。,7,email,发,34.92896808073729,4.866854,VV,6,ccomp,2.736628 5.054559 3.455236 2.731372 0.7125732 5.000037 4.866854 5.67024 3.218899 5.395529 5.34878 1.984262,3.8479141,7.630218513876136,8.716408282545688,5,1,1,0,0,5.000037,2,2,2,2,12
code-switch,CMU,102,卧室 内 家具 齐全 ， queen size 床 ， 拎包 入住 。,卧室 内 家具 齐全 ， 标准 双人 床 ， 拎包 入住 。,6,queen,标准,34.938702177633495,4.384405,NN,7,nsubj,6.527233 1.467137 5.110596 6.166569 0.370216 4.384405 4.781447 6.068077 0.7628116 10.51329 5.243498 0.9292497,4.3603774416666665,8.004911963317547,11.319097967990071,5,2,1,0,1,6.166569,2,2,2,2,12
code-switch,CMU,103,有 indoor 和 outdoor 的 停车场 ， 而且 周围 的 街区 都 可以 免费 街趴 。,有 室内 和 室外 的 停车场 ， 而且 周围 的 街区 都 可以 免费 街趴 。,2,indoor,室内,38.51760164316801,4.671109,NN,4,conj,2.715695 4.671109 2.146345 0.1856366 0.903634 4.423057 0.6882755 2.88387 3.898997 0.5708259 3.0234 1.897645 1.602715 2.222576 10.51329 1.427697,2.735923,11.319097967990071,10.220485679321962,6,2,2,0,0,2.715695,1,2,1,2,16
code-switch,CMU,107,我 是 刚 毕业 没 多久 的 young professional ， 安静 好 相处 ， 会 居家 也 爱 出去 浪 。,我 是 刚 毕业 没 多久 的 年轻 工作者 ， 安静 好 相处 ， 会 居家 也 爱 出去 浪 。,8,young,年轻,36.3680288667122,3.864295,JJ,9,amod,3.527254 1.29398 4.810775 1.513105 5.460276 6.227167 1.322219 3.864295 4.438061 0.7901119 5.789106 4.72127 3.757492 0.7833342 3.047284 6.876254 2.990236 3.829176 5.053157 5.78364 1.460633,3.6828012428571433,10.625950787430126,10.625950787430126,5,2,1,0,0,1.322219,2,2,2,2,21
code-switch,CMU,108,整个 公寓 总共 两 人 share ， 两 人 比较 好 协调 。,整个 公寓 总共 两 人 共用 ， 两 人 比较 好 协调 。,6,share,共用,40.0576172186791,10.16642,JJ,9,dep,3.732348 4.220335 5.209058 2.902849 1.009909 10.51329 1.197862 2.692784 0.4726976 4.174567 1.9546 5.860777 1.257738,3.476831892307693,7.7081800553458475,11.319097967990071,5,2,3,0,0,1.009909,2,2,2,2,13
code-switch,CMU,110,户型 ： 一 楼 是 超大 living room ， dining room ， sun room 及 厨房 。,户型 ： 一 楼 是 超大 客厅 ， 餐厅 ， 阳光 房 及 厨房 。,7,living,客厅,39.6219352948563,6.825455,NN,14,dep,6.482378 2.276336 2.337307 5.848589 1.85848 5.275753 6.825455 0.8922411 4.948161 0.8645111 5.011185 5.261838 2.287876 4.249507 0.6127838,3.668826733333333,8.644949318563542,7.630218513876136,6,2,7,0,0,5.275753,2,2,2,2,15
code-switch,CMU,117,还 有 其他 utility 吗 ？,还 有 其他 设施 或 服务 吗 ？,4,utility,设施,35.96312358280597,2.961687,NN,6,conj,4.255627 2.631451 2.638178 2.961687 2.843339 2.929498 4.827384 0.328867,2.927003875,8.041953234997894,9.239656426310235,7,2,2,0,0,2.638178,2,2,2,2,8
code-switch,CMU,119,大家 住 过 house 就 知道 房东 有 多 重要 了 ！,大家 住 过 整套 房子 就 知道 房东 有 多 重要 了 ！,4,house,整套,38.58763053090518,6.517437,JJ,5,amod,4.683601 3.948543 1.569363 6.517437 5.147523 2.278888 2.837215 6.385777 2.764953 2.151057 3.05338 2.957633 4.494481,3.7530654615384615,6.694125154705801,10.913632859881908,5,2,1,0,0,1.569363,2,2,2,2,13
code-switch,CMU,121,也 有 parking 。,也 有 停车 坪 。,3,parking,停车,39.13625613046543,5.480387,VV,2,ccomp,3.370151 0.5101284 5.480387 2.824252 1.319609,2.70090548,8.348683502420371,8.9212026951917,7,2,1,0,0,0.5101284,2,2,2,2,5
code-switch,CMU,123,房子 干净 ， 家具 全 ， 网络 全 ， 有 免费 试用 的 washer dryer ， 可 包 utility ， queen 床 ， 厨具 和 床上 用品 都 可以 提供 。,房子 干净 ， 家具 全 ， 网络 全 ， 有 免费 试用 的 洗衣机 和 烘干机 ， 可 包 物业费 ， 标准 双人床 ， 厨具 和 床上 用品 都 可以 提供 。,14,washer,洗衣机,39.18150026575489,5.573737,NN,16,conj,5.512905 6.083847 0.69897 5.426782 3.763882 2.04961 4.248945 4.092438 2.329117 2.35942 3.917893 3.003099 1.676899 5.573737 1.408048 1.14178 0.7381655 2.753981 5.309001 8.503919 1.378726 4.297133 8.131271 1.520604 6.484689 1.806718 5.782343 5.671571 2.149219 1.626132 2.711596 2.729739,3.590068109375,9.614349875751646,9.709660055555972,6,3,2,0,0,1.676899,2,2,2,2,32
code-switch,CMU,124,house 出租 2018 .,房屋 出租 2018 。,1,house,房屋,36.7830685525605,8.677697,NN,2,nsubj,8.677697 5.308383 10.51329 1.427697,6.481766749999999,6.694125154705801,9.709660055555972,5,2,1,0,,,1,2,1,1,4
code-switch,CMU,125,房型 ： house 一 层 ， 与 二 层 完全 独立 。,房型 ： 房屋 一 层 与 二 层 完全 独立 。,3,house,房屋,36.7830685525605,8.976678,NN,10,nsubj,7.042348 1.927382 8.976678 2.55689 2.296043 2.484833 2.465588 1.938254 4.093063 1.923676 0.7017931,3.309686190909091,6.694125154705801,9.709660055555972,5,2,7,0,1,7.042348,2,2,1,2,11
code-switch,CMU,134,餐厅 和 deck 之前 是 全 景 玻璃 门 。,餐厅 和 露台 之前 是 全 景 玻璃 门 。,3,deck,露台,43.62384283775316,5.55037,NN,9,advmod:loc,5.144928 1.378013 5.55037 4.229301 1.97509 3.285253 4.461344 5.595474 4.230506 1.224649,3.7074928,10.220485679321962,12.012245148550017,4,2,6,0,0,1.378013,2,2,1,2,10
code-switch,CMU,140,风水 宝地 ， 楼 主 正是 在 这里 面试 并 拿到 玄学 公司 的 offer ！,风水 宝地 ， 楼 主 正是 在 这里 面试 并 拿到 玄学 公司 的 录取 ！,15,offer,录取,39.05661914182459,5.249349,NN,9,dobj,5.336814 6.935758 0.5571634 5.147001 3.516645 5.659071 1.167076 1.243038 6.052634 1.998695 3.975261 6.499482 3.699607 1.003824 5.249349 4.715149,3.9222854625000005,10.220485679321962,12.012245148550017,5,2,6,0,0,1.003824,3,3,3,2,16
code-switch,CMU,143,需要 房子 的 朋友 请 联系 我 呀 ， 这个 房子 依然 available 。,需要 房子 的 朋友 请 联系 我 呀 ， 这个 房子 依然 可 租 。,13,available,可,34.18355738652351,2.768356,VV,14,aux:modal,3.98786 6.059936 1.138269 3.408282 3.764669 3.53085 4.016349 3.705003 1.027943 3.133736 3.727603 4.957556 2.768356 6.025867 1.742426,3.532980333333334,8.323365694436081,7.2500712137522605,9,1,1,0,0,4.957556,3,2,3,2,15
code-switch,CMU,145,且 在 寒冷 的 匹兹堡 cover 所有 暖气 费 ！,且 在 寒冷 的 匹兹堡 包含 所有 暖气 费 ！,6,cover,包含,36.5059715736465,4.39348,VV,0,root,4.478143 1.523432 4.078807 0.2972036 5.597507 4.39348 2.135292 6.517469 5.315121 4.565931,3.8902385599999993,9.815020571213797,9.067806169383577,5,2,0,1,0,5.597507,2,2,2,2,10
code-switch,CMU,146,租 新房 还 得 大 冬天 往返 宜家 搬家 具 组装 家具 ， 折腾 一 遍 签 合同 接 电网 的 手续 ， 来 这 直接 拎包 入住 ， so easy ！,租 新房 还 得 大 冬天 往返 宜家 搬家 具 组装 家具 ， 折腾 一 遍 签 合同 接 电网 的 手续 ， 来 这 直接 拎包 入住 ， 很 方便 ！,30,so,很,33.813727952520395,3.673991,AD,31,advmod,5.387967 6.984185 3.83045 2.606419 3.141396 5.783376 5.260828 6.322951 6.306211 2.666735 4.852299 2.242083 0.8346568 6.85567 1.869645 3.29836 5.560625 5.506878 5.148793 4.47236 0.8859069 4.998147 0.4808174 3.513138 3.827591 3.61388 10.51329 5.243498 1.059009 3.673991 2.741679 5.295875,4.2118346906249995,10.625950787430126,6.498816402385035,2,1,1,0,1,5.243498,3,3,3,2,32
