SentenceID,CodeSwitchedSentence,NumberOfCodeSwitching,CodeSwitch1,CodeSwitch2,CodeSwitch3,CodeSwitch4
204,房东 的 rental,1,rental,,,
205,而且 位于 downtown,1,downtown,,,
206,提前 renew 房租 比 现在 找 office 租 便宜,2,renew,office,,
207,nv 等 一切 经过 北边 的 bus,2,nv,bus,,
208,房间 全部 为 fully furnished,1,fully furnished,,,
209,utilities 全 包,1,utilities,,,
210,nv 和 we 经过 车站,2,nv,we,,
211,房间 全部 为 fully furnished,1,fully furnished,,,
212,utilities 全 包,1,utilities,,,
213,nv 和 we 经过 车站,2,nv,we,,
214,我们 都 比较 安静 也 想 找 一 个 比较 安静 的 tel,1,tel,,,
215,month 全 包,1,month,,,
216,copper beech aaron dr 有 兴趣 吗,1,copper beech aaron dr,,,
217,希望 利用 summer 时间 能够 集中 学习 一下,1,summer,,,
218,trader joe 等 超市,1,trader joe,,,
219,不 开 party,1,party,,,
220,随时 可以 签 lease,1,lease,,,
221,我 也 心仪 park crest,1,park crest,,,
222,微 信 tim,1,tim,,,
223,价格 可 议 utility 费用,1,utility,,,
224,bus 有 去 学校 的 r,2,bus,r,,
225,edu 顺便 可以 推荐 一些 summer 水 课 哦,2,edu,summer,,
226,还 包括 free parking,1,free parking,,,
227,三月 底 签 合同 进 lease,1,lease,,,
228,lease 是 从 六月 开始,1,lease,,,
229,我 是 grader,1,grader,,,
230,所以 如果 你 是 phd,1,phd,,,
231,我 希望 找 妹子 火速 去 office 商量 这 件 事,1,office,,,
232,有 两 个 大 箱子 和 一 个 carry on 的 小 箱子,1,carry on,,,
233,garden 一 室 一 厅 出租,1,garden,,,
234,garden 小区 是 南边 很 好 的 小区,1,garden,,,
235,小区 临近 健身 中心 ymca,1,ymca,,,
236,rp 线 可 前往 校园 及 downtown,2,rp,downtown,,
237,包 cable 和 internet,2,cable,internet,,
238,我 是 phd 第二 年,1,phd,,,
239,我 是 phd 第二 年,1,phd,,,
240,park crest 是 村里 有名 的 高 性价比 的 小区,1,park crest,,,
241,出门 就 是 giant 以及 东方 超市,1,giant,,,
242,位 于 村里 北边 west aaron drive 上,1,west aaron drive,,,
243,请 发 短信 or email,1,or email,,,
244,com 全新 的 会 在 下面 写 出来,1,com,,,
245,scotch 胶带 一 卷,1,scotch,,,
246,全新 旧版 kindle,1,kindle,,,
247,mini 小 温室 早春 育苗 和 晚秋 延长 收获 用,1,mini,,,
248,全新 copper foil tape,1,copper foil tape,,,
249,三 层 shelf,1,shelf,,,
250,大 area rug,1,area rug,,,
251,中 area rug,1,area rug,,,
252,小 cooler 送 钓鱼 附件,1,cooler,,,
253,楼主 已 不再 往返 boston,1,boston,,,
254,本 公寓 为 furnished two bedroom apartment,1,furnished two bedroom apartment,,,
255,com 请 备注 租房,1,com,,,
256,电气 和 暖气 等 utility 的 费用,1,utility,,,
257,office 人 很 nice,2,office,nice,,
258,快递 一般 在 office 接收,1,office,,,
259,离 office 很 近,1,office,,,
260,office 设有 游泳池,1,office,,,
261,park forest villas 小区 的 房子,1,park forest villas,,,
262,房租 包括 了 internet,1,internet,,,
263,lease 时间 为 一 年,1,lease,,,
264,所以 update 了 一 个 国内 的 邮箱,1,update,,,
265,那 估计 你 申请 不了 新 的 lease,1,lease,,,
266,一般 要求 有 过 state college 租房 经历 的 才能 申请,1,state college,,,
267,park crest 在 诸多 小区 中,1,park crest,,,
268,相信 对于 park crest 的 品质 和 价格 自有 一 番 比较 和 权衡,1,park crest,,,
269,会 优先 考虑 graduate student 和 女生,1,graduate student,,,
270,求 一 个 studio lease,1,studio lease,,,
271,in physics 的 新生,1,in physics,,,
272,熟手 guarantee 每 小时 赚,1,guarantee,,,
273,但 不 能 guarantee 这么 多 钱,1,guarantee,,,
274,独 栋 house,1,house,,,
275,可 提供 ride,1,ride,,,
276,人 很 nice,1,nice,,,
277,很 不错 的 house,1,house,,,
278,需要 和 一 位 男生 phd share bathroom,1,phd share bathroom,,,
279,走路 到 giant 大概 三 分钟,1,giant,,,
280,court 一 室 一 厅,1,court,,,
281,紧邻 东方 超市 与 radio,1,radio,,,
282,全 state college 性价比 最高 价格 最 低 的 studio 之一,2,state college,studio,,
283,刚刚 professionally cleaned 过,1,professionally cleaned,,,
284,以及 读 phd,1,phd,,,
285,这个 价格 包括 所有 的 utility,1,utility,,,
286,二 层 corner unit,1,corner unit,,,
287,走路 到 giant 大概 三 分钟,1,giant,,,
288,我 的 lease 是 到 七月 底,1,lease,,,
289,房间 里 有 一 张 full,1,full,,,
290,房东 的 rental,1,rental,,,
291,而且 位于 downtown,1,downtown,,,
292,东方 超市 韩国 超市 就 在 bus 沿线,1,bus,,,
293,state college 到 布朗 费用 可 议 联系 方式,1,state college,,,
294,leasing office 有 健身房 和 游泳池,1,leasing office,,,
295,本人 在 penn state 做 博 后,1,penn state,,,
296,一 个 jet black,1,jet black,,,
297,一 个 silver,1,silver,,,
298,本人 第二 年 的 phd,1,phd,,,
299,phd 一 年级 去 交流 一 年,1,phd,,,
300,希望 可以 在 giant food store 附近,1,giant food store,,,
301,包括 queen size 床,1,queen size,,,
302,imperial tower 在 学校 南部,1,imperial tower,,,
303,my my chicken 都 是 五 分钟 的 路程 对 租房 者 要求,1,my my chicken,,,
304,二 层 corner unit,1,corner unit,,,
305,地点 在 west aaron drive,1,west aaron drive,,,
306,我 可以 免费 提供 quarter,1,quarter,,,
307,其他 utility 全 包,1,utility,,,
308,有 free parking,1,free parking,,,
309,而且 位于 downtown,1,downtown,,,
310,自 带 walk,1,walk,,,
311,in closet 和 卫生间,1,in closet,,,
312,更多 信息 请 微 信 olivia,1,olivia,,,
313,tremont 四 人间 出租,1,tremont,,,
314,house 有 三 层,1,house,,,
315,三 层 两 个 房间 需要 share 一 个 卫生间 和 浴室,1,share,,,
316,位于 texas road house 正 对面,1,texas road house,,,
317,trader joe 也 很 近,1,trader joe,,,
318,the view 小区,1,the view,,,
319,vn 和 nv 可以 到 学校 离 giant,3,vn,nv,giant,
320,我 的 move in date 是 六月 底,1,move in date,,,
321,park crest terrace 两 室 一 厅 房子 整 租 或者 两 间 卧室 单独 出租,1,park crest terrace,,,
322,两 程 都 分别 有 座位 提供 拼 车 offer,1,offer,,,
323,别的 没有 任何 catch 啦,1,catch,,,
324,小区 免费 游泳池 健身房 和 computer lab 可以 打印 东西,1,computer lab,,,
325,甩 干 机 洗衣机 in unit,1,in unit,,,
326,小区 网址 http,1,http,,,
327,申请 了 uw madison and penn state,1,uw madison and penn state,,,
328,penn state university park 给 了 我 offer 但是 要 上 它 的 summer school,3,penn state university park,offer,summer school,
329,同 summer 新生,1,summer,,,
330,感觉 fitness 最 容易,1,fitness,,,
331,但是 不论 怎么 选 speech 和 composition 一定 要 选 一 个,2,speech,composition,,
332,sharing 相关 介绍 见,1,sharing,,,
333,提供 陪练 服务 和 路 考 的 tips,1,tips,,,
334,位置 west cherry ln,1,west cherry ln,,,
335,墙 是 美国 常见 的 dry wall,1,dry wall,,,
336,本人 civil engineering phd,1,civil engineering phd,,,
337,parkway plaza 位于 学校 南边,1,parkway plaza,,,
338,有 r 和 rc 通勤 学校,2,r,rc,,
339,本人 civil engineering phd,1,civil engineering phd,,,
340,parkway plaza 位于 学校 南边,1,parkway plaza,,,
341,有 r 和 rc 通勤 学校,2,r,rc,,
342,ve 和 vn,2,ve,vn,,
343,两 个 phd 女生,1,phd,,,
344,ve 和 vn,2,ve,vn,,
345,两 个 phd 女生,1,phd,,,
346,sharing 相关 介绍 见,1,sharing,,,
347,park crest terrace 两 室 一 厅 房子 整 租 或者 两 间 卧室 单独 出租,1,park crest terrace,,,
348,出 greyhound bus 票,1,greyhound bus,,,
349,都 可以 一 起 share,1,share,,,
350,my thai 和 fuji 和 百度 火锅 等 的 购物 中心,2,my thai,fuji,,
351,不 开 party 好 相处,1,party,,,
352,可以 用 debit card 或者 credit card,2,debit card,credit card,,
353,gate 位 于 村里 的 南面,1,gate,,,
354,人 也 很 nice,1,nice,,,
355,想 在 park crest 签 今年 五月 起 的 lease,2,park crest,lease,,
356,具体 可 参照 park crest 网站,1,park crest,,,
357,独 栋 house,1,house,,,
358,玩耍 可 提供 ride,1,ride,,,
359,可 ride 你 过来,1,ride,,,
360,目前 新 签 的 lease 都 是 每 个 月,1,lease,,,
361,超大 卫生间 和 walk,1,walk,,,
362,从 侧门 出去 有 一 个 trail 可以 走,1,trail,,,
363,asian friendly 地址,1,asian friendly,,,
364,com 房间 规格 与 价钱,1,com,,,
365,请 发 短信 or email,1,or email,,,
366,size 超级 无敌 硬 mattress,2,size,mattress,,
367,床 架 set,1,set,,,
368,scotch 胶带 一 卷,1,scotch,,,
369,全新 旧版 kindle,1,kindle,,,
370,送 memory foam,1,memory foam,,,
371,上面 加 一 块 memory foam,1,memory foam,,,
372,不 知道 为什么 上面 edit 不 了 啊,1,edit,,,
373,全新 crock pot food warmer,1,crock pot food warmer,,,
374,mini 小 温室 早春 育苗 和 晚秋 延长 收获 用,1,mini,,,
375,全新 copper foil tape,1,copper foil tape,,,
376,三 层 shelf,1,shelf,,,
377,full size 那 款,1,full size,,,
378,大 area rug,1,area rug,,,
379,中 area rug,1,area rug,,,
380,之前 买 的 token 多 了 很多,1,token,,,
381,discover 信用卡 discover 可 作为 入门 信用卡,2,discover,discover,,
382,chase freedom 信用卡,1,chase freedom,,,
383,门槛 比 discover 高 一点,1,discover,,,
384,前 三 个 月 内 如果 购买 delta 的 机票,1,delta,,,
385,purchase cash back 等等,1,purchase cash back,,,
386,感兴趣 的 请 自行 google,1,google,,,
387,discover 信用卡 discover 可 作为 入门 信用卡,2,discover,discover,,
388,chase freedom 信用卡,1,chase freedom,,,
389,门槛 比 discover 高 一点,1,discover,,,
390,前 三 个 月 内 如果 购买 delta 的 机票,1,delta,,,
391,purchase cash back 等等,1,purchase cash back,,,
392,感兴趣 的 请 自行 google,1,google,,,
393,房子 是 两 层 联 排 house,1,house,,,
394,best 评为 a 级,2,best,a,,
395,阅读 计划 b 或 计划 s 的,2,b,s,,
396,将 这个 电子 保单 和 email 里 的 保险 确认 信 visa letter 发给 学校,2,email,visa letter,,
397,希望 寻找 great valley 校区 的 伙伴 一起 租房,1,great valley,,,
398,full size 床 一 套,1,full size,,,
399,state college 性价比 最高 的 一 室 一 厅,1,state college,,,
400,汽车 现在 是 学期 中 可以 坐 n v w ne nv vn,1,n v w ne nv vn,,,
401,不 是 学期 中 坐 n v w a,1,n v w a,,,
402,college court 比较 靠 里 的 building,2,college court,building,,
403,所以 离开 state college,1,state college,,,
404,小区 有 gym,1,gym,,,
405,联系 方式 贺 女士 tel,1,tel,,,
406,vv 有 clubhouse,2,vv,clubhouse,,
407,ve 和 vn,2,ve,vn,,
408,giant 和 东方 超市,1,giant,,,
409,ashworth ln 小区 招租,1,ashworth ln,,,
410,独 栋 house,1,house,,,
411,我们 两 人 share 一 间 卫生间,1,share,,,
412,玩耍 可 提供 ride,1,ride,,,
413,的 copper beach,1,copper beach,,,
414,smiling 十分 感谢,1,smiling,,,
415,是 今年 fall 到 明年 哈,1,fall,,,
416,ve 和 vn,2,ve,vn,,
417,giant 和 东方 超市,1,giant,,,
418,零食 店 trader joe,1,trader joe,,,
419,以及 ups 邮寄 都 十分 方便,1,ups,,,
420,amazon 买好 家具,1,amazon,,,
421,ve 和 vn,2,ve,vn,,
422,giant 和 东方 超市,1,giant,,,
423,零食 店 trader joe,1,trader joe,,,
424,以及 ups 邮寄 都 十分 方便,1,ups,,,
425,amazon 买好 家具,1,amazon,,,
426,newark 也 接,1,newark,,,
427,限 不 开 party 的 安静 女生 联系 方式,1,party,,,
428,还 包括 free parking,1,free parking,,,
429,text 优先 哈,1,text,,,
430,还 包括 free parking,1,free parking,,,
431,text 优先 哈,1,text,,,
432,提供 费城 ride,1,ride,,,
433,提供 费城 单程 或 往返 ride,1,ride,,,
434,get your own room and share a bathroom 可以 签 半 年 或者 一 年 lease,2,get your own room and share a bathroom,lease,,
435,不 包 electricity 和 gas,2,electricity,gas,,
436,park crest 是 一 个 很 安静 的 小区,1,park crest,,,
437,对面 有 giant,1,giant,,,
438,但 希望 离 charlottesville 越 近 越 好,1,charlottesville,,,
439,cooper beech 附近,1,cooper beech,,,
440,可 乘坐 v ve 等 直达 校园,1,v ve,,,
441,spring summer fall 均 可,1,spring summer fall,,,
442,位于 bolton ave,1,bolton ave,,,
443,queen size 床,1,queen size,,,
444,需要 和 两 个 男生 share 卫生间,1,share,,,
445,graduate student 优先,1,graduate student,,,
446,现在 已经 有 两 个 phd,1,phd,,,
447,不 是 couple,1,couple,,,
448,在 stratford court 上,1,stratford court,,,
449,物理 phd 一 年级 学生,1,phd,,,
450,com 房间 介绍,1,com,,,
451,转 lease 的,1,lease,,,
452,后 胎 和 刹车 今年 需要 更换 vin,1,vin,,,
453,先 放 一 个 box 链接,1,box,,,
454,不 开 party,1,party,,,
455,纽约 或 新泽西 的 ride,1,ride,,,
456,如果 有 空位 available 可以 联系 微 信,1,available,,,
457,google photo 链接,1,google photo,,,
458,对面 是 giant,1,giant,,,
459,park crest 属于 村里 性价比 很 高 的 小区,1,park crest,,,
460,各 方面 管理 相对 organized,1,organized,,,
461,park crest 属于 村里 性价比 很 高 的 小区,1,park crest,,,
462,各 方面 管理 相对 organized,1,organized,,,
463,距离 giant 和 东方 超市 都 非常 近,1,giant,,,
464,时间 在 final 后 的 那 一 周 左右,1,final,,,
465,因为 前往 的 地方 在 new jersey,1,new jersey,,,
466,jfk 不 去 了,1,jfk,,,
467,在 state college 买 菜 上学 等 代步,1,state college,,,
468,人 超级 nice,1,nice,,,
469,无 bus pass 位置,1,bus pass,,,
470,取决 与 下 一 年 的 lease 会 不 会 有 变化,1,lease,,,
471,需要 share 浴室,1,share,,,
472,各 方面 管理 相对 organized,1,organized,,,
473,安静 不 开 party,1,party,,,
474,直接 与 office 签约,1,office,,,
475,paramount circle 小区 环境 较好 安静,1,paramount circle,,,
476,闲置 吸尘器 bissell vacuum cleaner,1,bissell vacuum cleaner,,,
477,包 cable 和 internet,2,cable,internet,,
478,可以 用 debit card 或者 credit card,2,debit card,credit card,,
479,gate 位 于 村里 的 南面,1,gate,,,
480,人 也 很 nice,1,nice,,,
481,房子 为 两 层 联 排 house,1,house,,,
482,生活 安静 不 party,1,party,,,
483,有 很多 parking space,1,parking space,,,
484,并且 没有 party,1,party,,,
485,小区 maintenance 很 及时,1,maintenance,,,
486,但 可能 要 向 leasing office 提出 申请,1,leasing office,,,
487,包括 所有 utilities,1,utilities,,,
488,jfk 和 纽约 市区 有 需要 请 联系,1,jfk,,,
489,可以 用 debit card 或者 credit card,2,debit card,credit card,,
490,gate 位 于 村里 的 南面,1,gate,,,
491,免费 停车 和 cable,1,cable,,,
492,然后 走 office 的 正规 程序,1,office,,,
493,人 也 很 nice,1,nice,,,
494,门口 就 是 健身房 ymca,1,ymca,,,
495,住 一 男 master,1,master,,,
496,从不 开 party,1,party,,,
497,因为 一共 四 个 人 共同 share 房租,1,share,,,
498,还 包括 free parking,1,free parking,,,
499,office 工作 人员 很 nice,2,office,nice,,
500,text 优先 哈,1,text,,,
501,门口 就 是 健身房 ymca,1,ymca,,,
502,住 一 男 master,1,master,,,
503,从不 开 party,1,party,,,
504,因为 一共 四 个 人 共同 share 房租,1,share,,,
505,park crest 图片 见 如下 链接,1,park crest,,,
506,大家 都 知道 park crest 是 村里 高 性价比 小区 之一,1,park crest,,,
507,走路 即 可 到 giant,1,giant,,,
508,giant 超市 对面,1,giant,,,
509,好 房 短 租 park forest apartment 两 室 一 厅,1,park forest apartment,,,
510,还 包括 free parking,1,free parking,,,
511,office 工作 人员 很 nice,2,office,nice,,
512,text 优先 哈,1,text,,,
513,所以 希望 接 我 lease 的 是 男生 厨房 的 用具 是 共用 的,1,lease,,,
514,还 有 一 个 reading room,1,reading room,,,
515,平常 如果 需要 买 grocery,1,grocery,,,
516,edu 请 注明 是 来 租房 的 啊,1,edu,,,
517,有 ups 快递,1,ups,,,
518,房间 临街 logan avenue,1,logan avenue,,,
519,是 离 学校 所有 apartment 中 比较 近 的 住宅 之一,1,apartment,,,
520,cable 全 包,1,cable,,,
521,两 个 toaster,1,toaster,,,
522,最好 可以 签 lease,1,lease,,,
523,不 开 party,1,party,,,
524,park forest 小区 的 情况,1,park forest,,,
525,而且 这个 小区 炉灶 和 取暖 使用 的 是 gas,1,gas,,,
526,只 在 share 的 bathroom 里 有 洗澡 的 地方,2,share,bathroom,,
527,park crest terrace 小区,1,park crest terrace,,,
528,卫生间 是 两 间 full bathroom,1,full bathroom,,,
529,leasing office 说 供不应求,1,leasing office,,,
530,controller 吸尘器 model,2,controller,model,,
531,cherry red 是 不 是 比较 吵,1,cherry red,,,
532,cherry red 是 不 是 比较 吵,1,cherry red,,,
533,cherry red 是 不 是 比较 吵,1,cherry red,,,
