sent_type,university,sent_id,original_sentence,translation,word_id,first_cs_word_form,first_cs_word_translation,frequency_first_cs_word_trans,surprisal_first_cs_word_trans,pos_tag_first_cs_word_trans,governor_first_cs_word_trans,deprel_first_cs_word_trans,bilingual_corpus_frequency_first_cs_word,bilingual_corpus_frequency_first_cs_word_trans,length_first_cs_word_form,length_first_cs_word_trans,dependency_distance,if_it_is_root,if_previous_word_is_punctuation
code-switch,CMU,17,有 兴趣 者 ， 请 email 短信 介绍 一下 自己 情况 。,有 兴趣 者 ， 请 发送 短信 介绍 一下 自己 情况 。,6,email,发送,1.59E-17,5.355831,VV,0,root,4.855576933581777E-4,3.641682700186333E-5,5,2,0,1,0
code-switch,CMU,18,半山 独 栋 别墅 ， 自 带 车库 和 driveway 。,半山 独 栋 别墅 ， 自 带 车库 和 私人 车道 。,10,driveway,私人,1.03E-16,3.668677,JJ,11,amod,6.069471166977221E-6,3.0347355834886106E-5,8,2,1,0,0
code-switch,CMU,19,一 楼 有 half bath 。,一 楼 有 半 浴室 。,4,half,半,1.13E-16,3.454723,CD,5,dep,4.248629816884055E-5,1.2745889450652164E-4,4,1,1,0,0
code-switch,CMU,22,精装 修 家具 全 free 无线 上网 !,精装 修 家具 全 免费 无线 上网 !,5,free,免费,2.69E-17,5.015528,JJ,7,amod,1.3352836567349886E-4,4.4307139518933716E-4,4,2,2,0,0
code-switch,CMU,25,对比 其他 地方 ， 可能 和 很多 人 share ， 并且 还 很 贵 ！,对比 其他 地方 ， 可能 和 很多 人 共用 ， 并且 还 很 贵 ！,9,share,共用,4.01E-18,Infinity,JJ,14,dep,4.491408663563144E-4,1.2138942333954442E-5,5,2,5,0,0
code-switch,CMU,26,房东 非常 无敌 nice 还 会 帮忙 丢 垃圾 ！,房东 非常 无敌 好 还 会 帮忙 丢 垃圾 ！,4,nice,好,1.73E-15,4.612996,AD,7,advmod,4.1272403935445107E-4,0.001128921637057763,4,1,3,0,0
code-switch,CMU,30,户型 ： 一 楼 是 超大 living room ， dining room 及 厨房 ；,户型 ： 一 楼 是 超大 客厅 ， 餐厅 及 厨房 ；,7,living,客厅,6.20E-18,6.825455,NN,11,dep,1.7601466384233942E-4,4.855576933581777E-4,6,2,4,0,0
code-switch,CMU,31,长 租 all gone ！,长 租 全部 租出 ！,3,all,全部,3.64E-16,4.537052,DT,4,det,5.462524050279499E-5,7.283365400372666E-5,3,2,1,0,0
code-switch,CMU,35,有 pet 可以 商量 正规 物业 管理 ， pa 法律 规定 租房 合同 ， 保护 双方 权益 ， 安心 入住 。,有 宠物 可以 商量 正规 物业 管理 ， 宾州 法律 规定 租房 合同 ， 保护 双方 权益 ， 安心 入住 。,2,pet,宠物,1.71E-18,5.679086,NN,4,nsubj,2.4277884667908884E-5,3.641682700186333E-5,3,2,2,0,0
code-switch,CMU,36,欢迎 email 联系 咨询 。,欢迎 发 邮件 联系 咨询 。,2,email,发,6.77E-16,5.297529,VV,1,ccomp,4.855576933581777E-4,1.6387572150838498E-4,5,1,1,0,0
code-switch,CMU,45,所有 想 寄 想 return 的 东西 ， 直接 放在 公寓 一 楼 就 可以 。,所有 想 寄 想 退还 的 东西 ， 直接 放在 公寓 一 楼 就 可以 。,5,return,退还,1.00E-17,6.251147,VV,4,ccomp,1.2138942333954442E-5,6.069471166977221E-6,6,2,1,0,0
code-switch,CMU,46,免费 送 顶楼 view 和 顶楼 的 阳光 普照 !,免费 送 顶楼 景观 和 顶楼 的 阳光 普照 !,4,view,景观,2.01E-17,5.143289,NN,6,conj,3.641682700186333E-5,6.069471166977221E-6,4,2,2,0,0
code-switch,CMU,49,bathroom : 二 楼 和 地下室 各 有 一 个 卫生间,浴室 : 二 楼 和 地下室 各 有 一 个 卫生间,1,bathroom,浴室,2.84E-18,5.886802,NN,8,nmod:topic,1.8208413500931663E-4,6.069471166977221E-5,8,2,7,0,0
code-switch,CMU,53,适合 couple 或 单身 居住 。,适合 情侣 或 单身 居住 。,2,couple,情侣,1.23E-18,5.668503,NN,5,conj,6.676418283674943E-5,1.8208413500931665E-5,6,2,3,0,0
code-switch,CMU,56,有 车库 ， off street parking .,有 车库 ， 路 外 停车场 。,4,off,路,2.46E-16,4.854201,NN,6,compound:nn,3.0347355834886106E-5,1.2138942333954442E-5,3,1,2,0,1
code-switch,CMU,57,要求 ： no smoking ， no pets ， no parties .,要求 ： 禁止 吸烟 ， 禁止 宠物 入内 ， 禁止 举办 派对 。,3,no,禁止,9.11E-17,4.489005,VV,1,ccomp,6.676418283674943E-5,6.069471166977221E-6,2,2,2,0,1
code-switch,CMU,62,house 里面 有 一 个 shared kitchen 和 dining room ， 烤箱 微波炉 洗衣机 都 有 ， 餐具 也 可以 和 家 里 其他 人 share 。,房子 里面 有 一 个 公共 厨房 和 餐厅 ， 烤箱 微波炉 洗衣机 都 有 ， 餐具 也 可以 和 家 里 其他 人 共用 。,1,house,房子,5.70E-17,5.512905,NN,2,compound:nn,0.0012381721180633532,8.375870210428566E-4,5,2,1,0,0
code-switch,CMU,64,一 层 有 doorman 帮忙 开门 和 收发 快递 ， 不用 担心 快递 丢失 等 问题 ；,一 层 有 门卫 帮忙 开门 和 收发 快递 ， 不用 担心 快递 丢失 等 问题 ；,4,doorman,门卫,3.06E-19,5.924223,NN,5,nsubj,4.855576933581777E-5,1.2138942333954442E-5,7,2,1,0,0
code-switch,CMU,67,八月 开始 可 签 一 年 lease 。,八月 开始 可 签 一 年 租约 。,7,lease,租约,8.76E-19,5.26434,NN,4,dobj,6.433639436995855E-4,4.248629816884055E-5,5,2,3,0,0
code-switch,CMU,68,性格 非常 nice 好 相处 ， 绝对 不 会 打扰 你 。,性格 非常 好 好 相处 ， 绝对 不 会 打扰 你 。,3,nice,好,1.73E-15,1.808211,JJ,5,amod,4.1272403935445107E-4,0.001128921637057763,4,1,2,0,0
code-switch,CMU,69,［ 治安 ］ 附近 治安 好 ， 公寓 有 doorman ， 收发 快递 也 方便 。,［ 治安 ］ 附近 治安 好 ， 公寓 有 门卫 ， 收发 快递 也 方便 。,10,doorman,门卫,3.06E-19,5.869847,NN,9,dobj,4.855576933581777E-5,1.2138942333954442E-5,7,2,1,0,0
code-switch,CMU,76,an open-air shopping 经历 。,一 次 露天 购物 经历 。,1,an,一,1.35E-14,2.791026,CD,4,nummod,6.069471166977221E-6,0.004236490874550101,2,1,3,0,0
code-switch,CMU,79,（ 对比 其他 地方 ， 可能 和 很多 人 share ， 并且 还 很 贵 ！,（ 对比 其他 地方 ， 可能 和 很多 人 共用 ， 并且 还 很 贵 ！,10,share,共用,4.01E-18,Infinity,JJ,15,dep,4.491408663563144E-4,1.2138942333954442E-5,5,2,5,0,0
code-switch,CMU,83,附近 neighborhood 非常 安静 也 非常 安全 ， 临近 富人 区 。,附近 街区 非常 安静 也 非常 安全 ， 临近 富人 区 。,2,neighborhood,街区,3.81E-18,4.005742,NN,4,nsubj,2.4277884667908884E-5,4.248629816884055E-5,12,2,2,0,0
code-switch,CMU,84,房子 目前 half furnished ，,房子 目前 装修 了 一半 ，,3,half,装修,4.62E-18,5.853029,VV,0,root,4.248629816884055E-5,7.283365400372666E-5,4,2,0,1,0
code-switch,CMU,85,房子 目前 几乎 是 fully furnished ， 含 电视 ， 床 ， 书桌 ， 餐厅 大 桌子 ， 椅子 ， 生活 用品 基本 齐全 。,房子 目前 几乎 是 完整 装修 ， 含 电视 ， 床 ， 书桌 ， 餐厅 大 桌子 ， 椅子 ， 生活 用品 基本 齐全 。,5,fully,完整,1.62E-16,2.684045,JJ,6,amod,3.641682700186333E-5,2.4277884667908884E-5,5,2,1,0,0
code-switch,CMU,87,想 找 1-2 间 带 家具 的 house room 或者 apartment room ，,想 找 2-Jan 间 带 家具 的 住宅 房间 或者 公寓 房间 ，,8,house,住宅,8.08E-17,3.890894,NN,12,compound:nn,0.0012381721180633532,2.4277884667908884E-5,5,2,4,0,0
code-switch,CMU,89,房间 是 一 栋 house 的 顶层 ， 非常 宽敞 。,房间 是 一 套 房子 的 顶层 ， 非常 宽敞 。,4,house,套,1.18E-16,2.08277,M,3,mark:clf,0.0012381721180633532,9.711153867163554E-5,5,1,1,0,0
code-switch,CMU,92,budget 灵活 。,资金 灵活 。,1,budget,资金,7.62E-16,5.637844,NN,2,nsubj,2.4277884667908884E-5,6.069471166977221E-6,6,2,1,0,0
code-switch,CMU,93,客厅 超大 ， walk-in closet 也 很 大 。,客厅 超大 ， 步入 式 衣柜 也 很 大 。,4,closet,步入,1.08E-20,5.390434,VV,9,dep,3.095430295158383E-4,6.069471166977221E-6,6,2,5,0,1
code-switch,CMU,95,如果 感 兴趣 ， 请 通过 email 联系 em@7,如果 感 兴趣 ， 请 通过 邮箱 联系 em@7,7,email,邮箱,1.20E-18,4.955325,NN,8,nmod:prep,4.855576933581777E-4,6.676418283674943E-5,5,2,1,0,0
code-switch,CMU,97,leasing office 就 在 lobby ， 员工 也 非常 好 ， 有 什么 问题 随时 可以 找 他们 沟通 解决 。,租约 办公室 就 在 大堂 ， 员工 也 非常 好 ， 有 什么 问题 随时 可以 找 他们 沟通 解决 。,1,leasing,租约,8.76E-19,6.527233,NN,2,compound:nn,2.4277884667908884E-5,4.248629816884055E-5,7,2,1,0,0
code-switch,CMU,98,房东 人 很 nice 。,房东 人 很 好 。,4,nice,好,1.73E-15,3.634527,VA,0,root,4.1272403935445107E-4,0.001128921637057763,4,1,0,1,0
code-switch,CMU,99,由 正规 公司 管理 ， 欢迎 email 联系 咨询 详细 。,由 正规 公司 管理 ， 欢迎 发 邮件 联系 咨询 详细 。,7,email,发,6.77E-16,4.866854,VV,6,ccomp,4.855576933581777E-4,1.6387572150838498E-4,5,1,1,0,0
code-switch,CMU,102,卧室 内 家具 齐全 ， queen size 床 ， 拎包 入住 。,卧室 内 家具 齐全 ， 标准 双人 床 ， 拎包 入住 。,6,queen,标准,6.70E-16,4.384405,NN,7,nsubj,3.338209141837472E-4,1.2138942333954442E-5,5,2,1,0,1
code-switch,CMU,103,有 indoor 和 outdoor 的 停车场 ， 而且 周围 的 街区 都 可以 免费 街趴 。,有 室内 和 室外 的 停车场 ， 而且 周围 的 街区 都 可以 免费 街趴 。,2,indoor,室内,1.87E-17,4.671109,NN,4,conj,1.2138942333954442E-5,3.641682700186333E-5,6,2,2,0,0
code-switch,CMU,107,我 是 刚 毕业 没 多久 的 young professional ， 安静 好 相处 ， 会 居家 也 爱 出去 浪 。,我 是 刚 毕业 没 多久 的 年轻 工作者 ， 安静 好 相处 ， 会 居家 也 爱 出去 浪 。,8,young,年轻,1.61E-16,3.864295,JJ,9,amod,2.4277884667908884E-5,2.4277884667908884E-5,5,2,1,0,0
code-switch,CMU,108,整个 公寓 总共 两 人 share ， 两 人 比较 好 协调 。,整个 公寓 总共 两 人 共用 ， 两 人 比较 好 协调 。,6,share,共用,4.01E-18,Infinity,JJ,9,dep,4.491408663563144E-4,1.2138942333954442E-5,5,2,3,0,0
code-switch,CMU,110,户型 ： 一 楼 是 超大 living room ， dining room ， sun room 及 厨房 。,户型 ： 一 楼 是 超大 客厅 ， 餐厅 ， 阳光 房 及 厨房 。,7,living,客厅,6.20E-18,6.825455,NN,14,dep,1.7601466384233942E-4,4.855576933581777E-4,6,2,7,0,0
code-switch,CMU,117,还 有 其他 utility 吗 ？,还 有 其他 设施 或 服务 吗 ？,4,utility,设施,2.41E-16,2.961687,NN,6,conj,3.2168197184979274E-4,9.711153867163554E-5,7,2,2,0,0
code-switch,CMU,119,大家 住 过 house 就 知道 房东 有 多 重要 了 ！,大家 住 过 整套 房子 就 知道 房东 有 多 重要 了 ！,4,house,整套,1.74E-17,6.517437,JJ,5,amod,0.0012381721180633532,1.8208413500931665E-5,5,2,1,0,0
code-switch,CMU,121,也 有 parking 。,也 有 停车 坪 。,3,parking,停车,1.01E-17,5.480387,VV,2,ccomp,2.3670937551211163E-4,1.3352836567349886E-4,7,2,1,0,0
code-switch,CMU,123,房子 干净 ， 家具 全 ， 网络 全 ， 有 免费 试用 的 washer dryer ， 可 包 utility ， queen 床 ， 厨具 和 床上 用品 都 可以 提供 。,房子 干净 ， 家具 全 ， 网络 全 ， 有 免费 试用 的 洗衣机 和 烘干机 ， 可 包 物业费 ， 标准 双人床 ， 厨具 和 床上 用品 都 可以 提供 。,14,washer,洗衣机,9.63E-18,5.573737,NN,16,conj,6.676418283674943E-5,6.069471166977221E-5,6,3,2,0,0
code-switch,CMU,124,house 出租 2018 .,房屋 出租 2018 。,1,house,房屋,1.06E-16,8.677697,NN,2,nsubj,0.0012381721180633532,6.069471166977221E-5,5,2,1,0,0
code-switch,CMU,125,房型 ： house 一 层 ， 与 二 层 完全 独立 。,房型 ： 房屋 一 层 与 二 层 完全 独立 。,3,house,房屋,1.06E-16,8.976678,NN,10,nsubj,0.0012381721180633532,6.069471166977221E-5,5,2,7,0,1
code-switch,CMU,134,餐厅 和 deck 之前 是 全 景 玻璃 门 。,餐厅 和 露台 之前 是 全 景 玻璃 门 。,3,deck,露台,1.13E-19,5.55037,NN,9,advmod:loc,3.641682700186333E-5,6.069471166977221E-6,4,2,6,0,0
code-switch,CMU,140,风水 宝地 ， 楼 主 正是 在 这里 面试 并 拿到 玄学 公司 的 offer ！,风水 宝地 ， 楼 主 正是 在 这里 面试 并 拿到 玄学 公司 的 录取 ！,15,offer,录取,1.09E-17,5.249349,NN,9,dobj,3.641682700186333E-5,6.069471166977221E-6,5,2,6,0,0
code-switch,CMU,143,需要 房子 的 朋友 请 联系 我 呀 ， 这个 房子 依然 available 。,需要 房子 的 朋友 请 联系 我 呀 ， 这个 房子 依然 可 租 。,13,available,可,1.43E-15,2.768356,VV,14,aux:modal,2.4277884667908884E-4,7.101281265363349E-4,9,1,1,0,0
code-switch,CMU,145,且 在 寒冷 的 匹兹堡 cover 所有 暖气 费 ！,且 在 寒冷 的 匹兹堡 包含 所有 暖气 费 ！,6,cover,包含,1.40E-16,4.39348,VV,0,root,5.462524050279499E-5,1.153199521725672E-4,5,2,0,1,0
code-switch,CMU,146,租 新房 还 得 大 冬天 往返 宜家 搬家 具 组装 家具 ， 折腾 一 遍 签 合同 接 电网 的 手续 ， 来 这 直接 拎包 入住 ， so easy ！,租 新房 还 得 大 冬天 往返 宜家 搬家 具 组装 家具 ， 折腾 一 遍 签 合同 接 电网 的 手续 ， 来 这 直接 拎包 入住 ， 很 方便 ！,30,so,很,2.06E-15,3.673991,AD,31,advmod,2.4277884667908884E-5,0.0015052288494103508,2,1,1,0,1
code-switch,CMU,150,房间 宽敞 ， 客厅 更大 ， 可 开 party ， 卧室 里 各 式 家具 齐全 ， 拎包 入住 。,房间 宽敞 ， 客厅 更大 ， 可 开 派对 ， 卧室 里 各 式 家具 齐全 ， 拎包 入住 。,9,party,派对,1.73E-18,2.93414,NN,8,dobj,2.7919567368095216E-4,6.069471166977221E-6,5,2,1,0,0
code-switch,CMU,151,欢迎 text ， 不 能 时时 接 电话 。,欢迎 来 短信 ， 不 能 时时 接 电话 。,2,text,来,4.31E-15,3.011078,VV,1,ccomp,6.676418283674943E-5,2.1243149084420275E-4,4,1,1,0,0
code-switch,CMU,156,utility 不 包 。,公用 事业 不 包 。,1,utility,公用,2.66E-17,5.688997,JJ,2,amod,3.2168197184979274E-4,1.8208413500931665E-5,7,2,1,0,0
code-switch,CMU,162,门口 有 bus 到 中国 店 等 。,门口 有 公交 到 中国 店 等 。,3,bus,公交,5.53E-18,4.538711,NN,2,dobj,3.823766835195649E-4,2.1243149084420275E-4,3,2,1,0,0
code-switch,CMU,170,main office 就 在 地下 一 楼 ， 咨询 非常 方便 。,总 办公室 就 在 地下 一 楼 ， 咨询 非常 方便 。,1,main,总,1.35E-15,3.760217,JJ,2,amod,1.8208413500931665E-5,2.4277884667908884E-5,4,1,1,0,0
code-switch,CMU,171,我 希望 租 一 个 房间 前 一 整 年 lease 。,我 希望 租 一 个 房间 前 一 整 年 的 租期 。,11,lease,的,1.12E-13,1.578519,DEG,7,case,6.433639436995855E-4,0.007435102179547096,5,1,4,0,0
code-switch,CMU,177,全新 的 宜家 买 的 twin size 的 床 和 书桌 柜子 ， 房间 内 有 closet 。,全新 的 宜家 买 的 小 单人床 的 床 和 书桌 柜子 ， 房间 内 有 衣柜 。,6,twin,小,7.75E-16,3.264341,JJ,7,amod,7.283365400372666E-5,2.7919567368095216E-4,4,1,1,0,0
code-switch,CMU,180,我俩 都 是 刚 毕业 没 多久 的 young professional ， 安静 好 相处 ， 会 居家 也 爱 出去 浪 。,我俩 都 是 刚 毕业 没 多久 的 年轻 职员 ， 安静 好 相处 ， 会 居家 也 爱 出去 浪 。,9,young,年轻,1.61E-16,3.864295,JJ,10,amod,2.4277884667908884E-5,2.4277884667908884E-5,5,2,1,0,0
code-switch,CMU,185,可以 share 大部分 家用 电器 ， 厨房 用品 ， 家具 等 。,可以 共用 大部分 家用 电器 ， 厨房 用品 ， 家具 等 。,2,share,共用,4.01E-18,Infinity,JJ,5,amod,4.491408663563144E-4,1.2138942333954442E-5,5,2,3,0,0
code-switch,CMU,190,一 楼 还 有 一 个 健身房 ， 及 vending machine + 小 食品 店 ， 深夜 饿 了 买 吃 的 方便 。,一 楼 还 有 一 个 健身房 ， 及 自动 售卖 机和 小 食品 店 ， 深夜 饿 了 买 吃 的 方便 。,10,vending,自动,8.07E-17,4.121259,AD,11,advmod,6.069471166977221E-6,1.2138942333954442E-5,7,2,1,0,0
code-switch,CMU,198,这个 房间 在 夏季 是 整 个 house 最 凉爽 的 屋子 ， 最 热 的 时候 也 可以 不 开 风扇 。,这个 房间 在 夏季 是 整 个 房子 最 凉爽 的 屋子 ， 最 热 的 时候 也 可以 不 开 风扇 。,8,house,房子,5.70E-17,4.638225,NN,12,dep,0.0012381721180633532,8.375870210428566E-4,5,2,4,0,0
code-switch,CMU,199,房间 / 客厅 / share 都 可以 ， 有 张 床 就 行 。,房间 / 客厅 / 共用 都 可以 ， 有 张 床 就 行 。,5,share,共用,4.01E-18,Infinity,JJ,9,dep,4.491408663563144E-4,1.2138942333954442E-5,5,2,4,0,1
code-switch,CMU,201,卧室 里 有 一 个 queen bed ， 凉台 上 又 一 个 twin bed 。,卧室 里 有 一 个 标准 双人床 ， 凉台 上 又 一 个 单人床 。,6,queen,标准,6.70E-16,3.223251,NN,7,compound:nn,3.338209141837472E-4,1.2138942333954442E-5,5,2,1,0,0
code-switch,CMU,203,两 个 block 内 有 各 种 吃 = 的 ， 银行 和 小 超市 。,两 个 街区 内 有 各 种 吃 = 的 ， 银行 和 小 超市 。,3,block,街区,3.81E-18,3.227555,NN,5,advmod:loc,5.462524050279499E-5,4.248629816884055E-5,5,2,2,0,0
code-switch,CMU,204,about apt ： 两 室 一 厅 ， 一 个 卫生间 ， 空间 很大 ， 朝向 为 南 ， 所以 有 充足 的 阳光 。,关于 公寓 ： 两 室 一 厅 ， 一 个 卫生间 ， 空间 很大 ， 朝向 为 南 ， 所以 有 充足 的 阳光 。,1,about,关于,1.06E-15,3.119623,P,2,case,1.8208413500931665E-5,3.0347355834886106E-5,5,2,1,0,0
code-switch,CMU,206,bedroom ， den ， 和 hallway 均 有 closet 3 .,卧室 ， 小 房间 ， 和 门廊 都 有 衣柜 。,1,bedroom,卧室,3.33E-18,6.527233,NN,9,nmod:topic,3.034735583488611E-4,7.768923093730843E-4,7,2,8,0,0
code-switch,CMU,207,bedroom 和 den 之间 有 一 扇 滑动 门 地图 ：,房间 和 之间 有 一 扇 滑动 门 地图 ：,1,bedroom,房间,3.80E-17,5.415995,NN,3,conj,3.034735583488611E-4,8.922122615456515E-4,7,2,2,0,0
code-switch,CMU,208,同 问 楼主 这个 house 现在 还 在 招租 吗 ？,同 问 楼主 这个 房子 现在 还 在 招租 吗 ？,5,house,房子,5.70E-17,3.927536,NN,8,nsubj,0.0012381721180633532,8.375870210428566E-4,5,2,3,0,0
code-switch,CMU,210,公寓 有 free parking 。,公寓 有 免费 停车场 。,3,free,免费,2.69E-17,3.934701,JJ,4,amod,1.3352836567349886E-4,4.4307139518933716E-4,4,2,1,0,0
code-switch,CMU,211,manager 很 nice ， 有 问题 会 及时 给 解决 。,经理 很 好 ， 有 问题 会 及时 给 解决 。,1,manager,经理,1.35E-16,6.100998,NN,3,nsubj,4.855576933581777E-5,1.8208413500931665E-5,7,2,2,0,0
code-switch,CMU,212,洗衣 房 在 basement ；,洗衣 房 在 地下室 ；,4,basement,地下室,2.70E-18,4.405628,NN,3,dobj,5.462524050279499E-5,1.3959783684047608E-4,8,3,1,0,0
code-switch,CMU,214,楼道 building manager 和蔼可亲 。,楼道 物业 经理 和蔼可亲 。,2,building,物业,1.97E-17,4.992622,NN,3,compound:nn,7.283365400372666E-5,2.1850096201117997E-4,8,2,1,0,0
code-switch,CMU,216,room : 超大 空间 ， 包 家具 ， 直接 入住 。,房间 : 超大 空间 ， 包 家具 ， 直接 入住 。,1,room,房间,3.80E-17,5.415995,NN,6,dep,3.398903853507244E-4,8.922122615456515E-4,4,2,5,0,0
code-switch,CMU,218,附近 house 的 地下室 或者 车库 都 是 可以 的 。,附近 房子 的 地下室 或者 车库 都 是 可以 的 。,2,house,房子,5.70E-17,5.359092,NN,6,nmod:assmod,0.0012381721180633532,8.375870210428566E-4,5,2,4,0,0
code-switch,CMU,219,家具 ： queen size 床 ， 桌子 转椅 台灯 ， 有 吊扇 和 顶灯 。,家具 ： 标准 双人床 ， 桌子 转椅 台灯 ， 有 吊扇 和 顶灯 。,3,queen,标准,6.70E-16,4.337596,NN,4,compound:nn,3.338209141837472E-4,1.2138942333954442E-5,5,2,1,0,1
code-switch,CMU,222,后院 有 double deck ， 很 休闲 安静 。,后院 有 双层 露台 ， 很 休闲 安静 。,3,double,双层,5.79E-21,4.358755,JJ,4,amod,1.8208413500931665E-5,6.069471166977221E-6,6,2,1,0,0
code-switch,CMU,226,电话 ： pn-4 ， email,电话 ： pn-4 ， 邮箱,5,email,邮箱,1.20E-18,6.138847,NN,0,root,4.855576933581777E-4,6.676418283674943E-5,5,2,0,1,1
code-switch,CMU,228,现在 还是 available 吗 ？,现在 还是 空闲 的 吗 ？,3,available,空闲,3.81E-18,6.147059,VV,6,dep,2.4277884667908884E-4,6.069471166977221E-6,9,2,3,0,0
code-switch,CMU,231,house 一共 有 三 间 卧室 ， 另外 两 间 分别 住 了 一 个 匹 大 本科 美国 女生 ， 和 一 个 匹 大 博士后 中国 男生 。,房子 一共 有 三 间 卧室 ， 另外 两 间 分别 住 了 一 个 匹 大 本科 美国 女生 ， 和 一 个 匹 大 博士后 中国 男生 。,1,house,房子,5.70E-17,5.512905,NN,3,nsubj,0.0012381721180633532,8.375870210428566E-4,5,2,2,0,0
code-switch,CMU,233,房子 目前 几乎 是 fully furnished ， 含 电视 ， 床 ， 书桌 ， 餐厅 大 桌子 ， 椅子 等 。,房子 目前 几乎 是 家具 齐全 ， 含 电视 ， 床 ， 书桌 ， 餐厅 大 桌子 ， 椅子 等 。,5,fully,家具,1.16E-17,5.272995,NN,6,dep,3.641682700186333E-5,6.130165878646994E-4,5,2,1,0,0
code-switch,CMU,238,之前 选 这个 房子 也 是 因为 小区 非常 安静 ， 邻居 都 很 nice ， 房子 特别 新 。,之前 选 这个 房子 也 是 因为 小区 非常 安静 ， 邻居 人 都 很 好 ， 房子 特别 新 。,13,nice,人,8.08E-15,2.874258,NN,16,nsubj,4.1272403935445107E-4,0.001013601684885196,4,1,3,0,0
code-switch,CMU,239,如果 renew ， 也 是 yearly lease 从 夏天 都 夏天 。,如果 更新 ， 也 是 一 年 期 租约 从 夏天 都 夏天 。,2,renew,更新,1.07E-16,4.937533,VV,9,dep,1.2138942333954442E-5,6.069471166977221E-5,5,2,7,0,0
code-switch,CMU,244,朋友 来 聚餐 ， 开 party 都 有 足够 空间 。,朋友 来 聚餐 ， 开 派对 都 有 足够 空间 。,6,party,派对,1.73E-18,3.065036,NN,5,dobj,2.7919567368095216E-4,6.069471166977221E-6,5,2,1,0,0
code-switch,CMU,245,松鼠 山 公寓 很少 ， 所以 我 的 房子 既 能 享受 apartment 的 物业 ， 又 能 享受 松鼠 山 的 优越 位置 。,松鼠 山 公寓 很少 ， 所以 我 的 房子 既 能 享受 公寓 的 物业 ， 又 能 享受 松鼠 山 的 优越 位置 。,13,apartment,公寓,1.10E-17,5.269963,NN,12,dobj,4.855576933581777E-4,6.372944725326083E-4,9,2,1,0,0
